Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6
18403962;0;0.625990;-89.518547;90.282356;4.940074;90.483284;-143.840836;-0.926970;5.454060;-4.599429;-0.998962;-0.195500;-1.146788
18403986;0;0.625990;-89.518532;90.282356;4.940050;90.483284;-143.840912;-0.924110;5.444525;-4.628043;-1.013275;-0.181188;-1.151550
18404010;0;0.625990;-89.518524;90.282349;4.940050;90.483307;-143.840897;-0.925060;5.429265;-4.634857;-1.022812;-0.183575;-1.158713
18404034;0;0.625968;-89.518532;90.282349;4.940050;90.483307;-143.840775;-0.908850;5.470275;-4.640300;-0.987050;-0.190725;-1.139637
18404058;0;0.625990;-89.518532;90.282349;4.940050;90.483261;-143.840836;-0.930785;5.456920;-4.660736;-0.987050;-0.190725;-1.163475
18404082;0;0.625990;-89.518524;90.282349;4.940026;90.483261;-143.840836;-0.919340;5.437850;-4.628043;-0.982275;-0.190725;-1.206388
18404106;0;0.625990;-89.518532;90.282349;4.940050;90.483284;-143.840836;-0.929830;5.454060;-4.622593;-0.982275;-0.181188;-1.184938
18404130;0;0.625990;-89.518517;90.282349;4.940050;90.483261;-143.840836;-0.924110;5.434985;-4.629407;-0.984662;-0.188350;-1.156325
18404154;0;0.624100;-89.518532;90.282349;4.940098;90.483231;-143.840775;4.757880;5.454060;-4.625314;-0.977513;-0.178813;-1.2230755
18404178;0;0.545460;-89.518547;90.282326;4.940050;90.483231;-143.840912;18.461224;5.460735;-4.603521;-0.970362;-0.183575;-1.208775
18404202;0;0.251268;-89.518631;90.282349;4.940170;90.482506;-143.841049;40.261265;5.847930;-4.618507;-0.915525;0.021450;-1.2016255
18404226;0;-0.472324;-89.520142;90.282402;4.940647;90.482574;-143.840973;62.591553;6.803510;-4.478179;-0.660412;0.157350;-1.232612
18404250;0;-1.832443;-89.524940;90.282524;4.941268;90.482468;-143.841019;80.448151;8.054730;-4.110335;-0.197875;-0.002375;-1.218313
18404274;0;-3.935808;-89.534409;90.282654;4.942224;90.483032;-143.841232;82.383156;8.759495;-3.895072;0.367162;-1.227850;-1.2421503
18404298;0;-6.721611;-89.542145;90.282799;4.942319;90.483177;-143.840759;73.936462;10.462760;-3.957743;0.474450;0.286100;-1.2063883
18404322;0;-10.021498;-89.545441;90.283005;4.942032;90.482460;-143.840668;58.459282;11.729239;-3.659379;0.548362;0.092975;-1.192088
18404346;0;-13.610544;-89.545815;90.283020;4.941698;90.482391;-143.840607;47.905918;11.896130;-3.769736;0.622262;0.035763;-1.227850
18404370;0;-17.320650;-89.545670;90.283020;4.941459;90.482758;-143.840607;42.339317;11.513710;-3.760200;0.696175;0.259875;-1.187312
18404394;0;-21.063374;-89.545723;90.282928;4.941268;90.483002;-143.840469;39.335251;11.506080;-3.762921;0.772475;0.388613;-1.218313
18404418;0;-24.809668;-89.545670;90.282875;4.941149;90.482613;-143.840363;38.942333;11.693000;-3.813329;0.824925;0.431537;-1.220700
18404442;0;-28.554995;-89.545647;90.282944;4.940958;90.482109;-143.840454;39.175983;11.756895;-3.764286;0.844000;0.274175;-1.208775
18404466;0;-32.299858;-89.545723;90.283127;4.940838;90.482330;-143.840439;38.542744;11.868475;-3.626686;0.946513;0.300400;-1.220700
18404490;0;-36.044430;-89.545868;90.283195;4.940791;90.482933;-143.840424;38.618084;11.960980;-3.553114;0.910750;0.524512;-1.192088
18404514;0;-39.788513;-89.545982;90.283142;4.940743;90.483200;-143.840347;38.705826;11.991500;-3.561286;0.941750;0.548362;-1.232612
18404538;0;-43.533413;-89.545998;90.283081;4.940695;90.482719;-143.840378;38.013454;12.116430;-3.593986;0.994200;0.581738;-1.201625
18404562;0;-47.277489;-89.546013;90.283165;4.940576;90.482239;-143.840591;37.817001;12.207029;-3.536764;0.963200;0.445837;-1.184938
18404586;0;-51.021706;-89.546310;90.283340;4.940528;90.482552;-143.840652;37.827488;12.187000;-3.434586;1.025187;0.352850;-1.184938
18404610;0;-54.765999;-89.546516;90.283417;4.940480;90.483177;-143.840500;38.401600;12.277600;-3.363743;1.065725;0.617500;-1.182550
18404634;0;-58.509888;-89.546585;90.283356;4.940456;90.483345;-143.840363;37.304874;12.364386;-3.384178;1.051425;0.722400;-1.170625
18404658;0;-62.254139;-89.546692;90.283325;4.940408;90.483009;-143.840439;36.456104;12.367245;-3.414150;1.068112;0.622262;-1.168250
18404682;0;-65.997292;-89.546890;90.283424;4.940361;90.482529;-143.840515;38.384434;12.410160;-3.366464;1.065725;0.467300;-1.170625
