Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6
18442482;0;0.625990;-89.518532;90.282372;4.940026;90.483231;-143.840836;-0.753400;5.290030;-4.527221;-0.934600;-0.104900;-1.161088
18442506;0;0.625990;-89.518524;90.282372;4.940050;90.483261;-143.840836;-0.745770;5.301475;-4.559921;-0.970362;-0.128737;-1.182550
18442530;0;0.625990;-89.518532;90.282372;4.940026;90.483284;-143.840836;-0.736235;5.311010;-4.577636;-0.946513;-0.114437;-1.204013
18442554;0;0.625990;-89.518517;90.282372;4.940050;90.483261;-143.840836;-0.754355;5.287170;-4.572186;-0.972737;-0.140663;-1.211162
18442578;0;0.625990;-89.518532;90.282372;4.940050;90.483284;-143.840775;-0.755310;5.300520;-4.580357;-0.965587;-0.133512;-1.194475
18442602;0;0.625990;-89.518532;90.282372;4.940050;90.483284;-143.840836;-0.785825;5.279540;-4.573543;-0.953663;-0.104900;-1.213550
18442626;0;0.625990;-89.518532;90.282372;4.940026;90.483261;-143.840775;-0.759120;5.311010;-4.549021;-0.977513;-0.126350;-1.227850
18442650;0;0.625990;-89.518555;90.282372;4.940074;90.483231;-143.840775;-0.749585;5.267140;-4.554471;-0.927437;-0.109663;-1.232612
18442674;0;0.624144;-89.518547;90.282372;4.940074;90.483208;-143.840912;4.954335;5.257605;-4.562650;-0.970362;-0.152587;-1.1992382
18442698;0;0.546438;-89.518532;90.282326;4.940074;90.483231;-143.840912;19.289970;5.307195;-4.528586;-0.948900;-0.143050;-1.218313
18442722;0;0.251104;-89.518623;90.282341;4.940217;90.482460;-143.841049;40.131565;5.712505;-4.534036;-0.858300;0.102513;-1.2111623
18442746;0;-0.474280;-89.520142;90.282402;4.940599;90.482651;-143.841171;61.464302;6.611820;-4.395072;-0.667563;0.298012;-1.220700
18442770;0;-1.834936;-89.524658;90.282524;4.941149;90.482445;-143.841019;78.989983;8.108135;-4.013600;-0.269413;0.050062;-1.249313
18442794;0;-3.938566;-89.533760;90.282677;4.942128;90.482964;-143.841370;81.086151;8.844375;-3.822871;0.338550;-1.215925;-1.244538
18442818;0;-6.724105;-89.541489;90.282845;4.942176;90.483109;-143.840698;71.933746;10.452270;-3.905971;0.367162;0.324237;-1.230237
18442842;0;-10.023025;-89.544914;90.283104;4.941913;90.482437;-143.840668;57.293892;11.694905;-3.589900;0.457763;0.169275;-1.230237
18442866;0;-13.610907;-89.545341;90.283119;4.941555;90.482323;-143.840485;46.465870;11.902804;-3.686629;0.591275;0.152587;-1.235000
18442890;0;-17.320309;-89.545242;90.283165;4.941411;90.482681;-143.840546;42.051315;11.588095;-3.683907;0.598425;0.412463;-1.230237
18442914;0;-21.063307;-89.545288;90.283043;4.941173;90.482903;-143.840408;38.838383;11.573790;-3.696164;0.667563;0.553125;-1.213550
18442938;0;-24.810205;-89.545258;90.282990;4.941053;90.482590;-143.840500;37.244793;11.794090;-3.756114;0.700950;0.557887;-1.232612
18442962;0;-28.555279;-89.545258;90.283051;4.940910;90.482086;-143.840378;38.378716;11.866565;-3.713879;0.753400;0.376700;-1.225462
18442986;0;-32.299553;-89.545341;90.283218;4.940838;90.482330;-143.840378;37.784576;11.920925;-3.569464;0.834463;0.393387;-1.232612
18443010;0;-36.044331;-89.545517;90.283272;4.940767;90.483009;-143.840424;37.469860;12.060164;-3.495893;0.820150;0.598425;-1.211162
18443034;0;-39.788601;-89.545761;90.283241;4.940671;90.483276;-143.840424;38.125988;12.060164;-3.520414;0.827300;0.591275;-1.223075
