Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6
9963306;0;0.625946;-89.518799;90.282654;4.939931;90.483330;-143.840637;2.614970;1.000400;-2.430500;2.448550;-0.607962;-1.139637
9963330;0;0.607335;-89.519554;90.329445;4.917958;90.485168;-143.839005;10.921475;3.497120;6.493157;12.109275;1.046650;-1.833438
9963354;0;0.500471;-89.546494;90.596977;4.454216;90.548698;-143.728714;19.661900;9.770390;17.332342;31.063551;6.132125;-6.854525
9963378;0;0.224088;-89.653923;91.360901;2.787637;90.796906;-143.158417;30.213356;13.439176;29.161993;50.058365;10.752675;-9.255401
9963402;0;-0.300146;-89.871857;92.821892;-0.534222;91.300056;-141.966202;33.578869;15.189169;35.997112;62.303535;10.974400;-10.585775
9963426;0;-1.097534;-90.209793;95.035255;-5.605010;92.067223;-140.161224;33.559795;17.024990;38.351326;65.574638;13.136862;-12.068737
9963450;0;-2.126261;-90.654793;97.918854;-12.277269;93.076759;-137.776154;29.824253;15.958784;33.185135;59.690475;11.990062;-12.624262
9963474;0;-3.303314;-91.154907;101.201202;-19.874147;94.227280;-135.049194;22.068020;14.760015;24.325500;48.534863;10.447500;-11.727800
9963498;0;-4.541276;-91.668945;104.622421;-27.730997;95.415756;-132.224548;18.983839;13.860700;20.544865;47.357075;9.415138;-11.0483120
9963522;0;-5.789136;-92.183983;108.073654;-35.620827;96.607544;-129.398026;18.358231;13.914105;20.535330;44.441212;10.013576;-11.286725
9963546;0;-7.036798;-92.699966;111.529800;-43.509205;97.800484;-126.583939;18.885609;13.508795;21.689278;45.025337;9.284013;-11.6348255
9963570;0;-8.286613;-93.214348;114.986504;-51.398033;98.993454;-123.770271;18.018719;13.798711;22.298264;44.863213;8.456700;-11.1556015
9963594;0;-9.523103;-93.726112;118.417229;-59.254284;100.180267;-120.961632;14.311790;11.850355;14.828272;39.505951;8.966912;-10.638226
9963618;0;-10.678448;-94.203522;121.630707;-66.685959;101.305206;-118.281067;7.740020;5.460735;2.047671;26.464451;5.214212;-8.606900226
9963642;0;-11.657571;-94.532867;124.320984;-72.892235;102.244263;-116.037956;-1.971240;-8.701320;-5.664821;14.188288;4.153250;-6.015300
9963666;0;-12.380252;-94.552765;126.307983;-77.428345;102.933151;-114.407501;-5.001065;-30.564304;-10.524471;4.765975;0.629425;-4.050725
9963690;0;-12.823660;-94.111801;127.542610;-80.221687;103.355293;-113.396851;-5.050655;-53.646088;-12.311929;-3.266325;-0.216950;-2.367487
9963714;0;-13.029016;-93.039742;128.113235;-81.419418;103.532745;-112.971069;-4.442210;-66.781036;-7.953643;-4.134175;1.146788;-1.24692587
9963738;0;-13.086870;-91.247795;128.282257;-81.678360;103.570473;-112.898300;-0.815390;-72.137833;-2.446850;1.471038;1.754750;-1.909725587
9963762;0;-13.087903;-88.791870;128.285339;-81.701241;103.573410;-112.898636;1.388545;-67.526817;-2.177100;4.394050;2.233975;-1.7452125587
9963786;0;-13.086705;-85.769295;128.259399;-81.702026;103.573082;-112.899933;0.892635;-52.666656;-1.363750;3.139963;2.241125;-1.1730125587
9963810;0;-13.086947;-82.361687;128.247742;-81.700691;103.572754;-112.902931;0.441550;-41.978836;-2.632136;1.711838;2.098075;-0.7295505587
