Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6
12261342;0;0.625968;-89.518517;90.282516;4.939907;90.483215;-143.840973;2.032275;0.926015;-2.768378;1.833438;-0.832075;-0.813000
12261366;0;0.607467;-89.519272;90.329384;4.918197;90.485023;-143.839188;10.463710;3.427505;6.198879;11.670588;0.972737;-1.559250
12261390;0;0.500922;-89.546616;90.596779;4.454502;90.548645;-143.730148;19.392965;9.543415;17.058506;30.665388;5.919925;-6.687637
12261414;0;0.224033;-89.654533;91.361198;2.787590;90.797073;-143.159073;29.423710;13.109205;28.682434;49.774639;10.452262;-9.021750
12261438;0;-0.300685;-89.872810;92.823769;-0.535273;91.300407;-141.966568;32.512657;14.684675;35.187859;61.171047;10.547637;-10.328288
12261462;0;-1.098490;-90.210991;95.039024;-5.606562;92.067635;-140.160614;32.410618;16.492840;37.134712;64.444534;12.946124;-11.770725
12261486;0;-2.127459;-90.656128;97.923248;-12.278822;93.077309;-137.772827;28.302189;15.301700;31.894949;57.935715;11.644362;-12.135500
12261510;0;-3.304863;-91.156212;101.205078;-19.875341;94.227875;-135.044998;20.102499;14.097209;23.097986;47.128201;9.934900;-11.217587
12261534;0;-4.542770;-91.670090;104.627396;-27.731953;95.416420;-132.222519;17.169949;13.312335;18.704271;45.187462;8.819100;-10.597700
12261558;0;-5.790246;-92.185333;108.077354;-35.621449;96.607788;-129.396317;16.668316;13.061521;19.265579;42.839050;9.713162;-10.747900
12261582;0;-7.037633;-92.700996;111.532349;-43.509655;97.800804;-126.582962;17.330166;12.895579;20.479471;43.506615;8.952613;-11.093613
12261606;0;-8.286592;-93.215118;114.988632;-51.398033;98.993530;-123.770142;16.518589;13.124464;20.959036;43.263428;7.979862;-10.673988
12261630;0;-9.523487;-93.726906;118.418938;-59.254475;100.180267;-120.960449;12.717245;11.168475;13.495851;38.046825;8.656975;-10.192388
12261654;0;-10.678898;-94.203819;121.631691;-66.685699;101.305130;-118.280731;5.912780;4.857060;0.930507;25.045862;4.801750;-8.244513388
12261678;0;-11.657516;-94.532837;124.320534;-72.891777;102.244209;-116.040253;-3.270145;-9.132385;-6.792886;12.960425;3.833763;-5.612362
12261702;0;-12.379746;-94.552063;126.305916;-77.427750;102.932907;-114.412170;-6.151195;-30.708309;-11.083056;3.676413;0.414837;-3.876675
12261726;0;-12.822352;-94.109306;127.540985;-80.220833;103.354538;-113.401588;-5.620955;-53.081512;-13.405935;-4.224775;-0.107287;-2.291200
12261750;0;-13.027379;-93.035294;128.111359;-81.417717;103.532021;-112.976906;-4.733085;-65.741531;-8.264264;-4.291525;1.246925;-1.32321300
12261774;0;-13.085574;-91.241753;128.278381;-81.676468;103.569748;-112.905777;-1.239775;-70.367805;-2.487721;1.595012;1.764287;-2.219675300
12261798;0;-13.086353;-88.785385;128.280579;-81.699638;103.572708;-112.905396;1.412390;-66.127777;-2.095357;4.508488;2.214900;-2.0408635300
