# Temp Start [C] | A1:317.0 | A2:324.0 | A3:314.0 | A4:319.0 | A5:313.0 | A6:312.0
Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6
6924009;0;0.625979;-89.518578;90.282326;4.940050;90.483261;-143.840179;2.389905;7.503505;-5.570815;5.023475;-0.233650;-1.513950
6924033;0;0.625979;-89.518578;90.282318;4.940050;90.483261;-143.840179;2.376555;7.486340;-5.581714;5.023475;-0.264638;-1.482962
6924057;0;0.625990;-89.518570;90.282326;4.940002;90.483238;-143.840118;2.378460;7.499691;-5.573543;5.042550;-0.259875;-1.492500
6924081;0;0.625968;-89.518547;90.282318;4.940050;90.483330;-143.840179;2.372740;7.503505;-5.596700;5.018700;-0.255100;-1.471038
6924105;0;0.625979;-89.518570;90.282295;4.940050;90.483284;-143.840179;2.400395;7.479665;-5.636214;5.023475;-0.259875;-1.537788
6924129;0;0.625990;-89.518578;90.282341;4.940026;90.483261;-143.840179;2.343175;7.502555;-5.587164;5.013937;-0.252712;-1.523487
6924153;0;0.625979;-89.518578;90.282341;4.940026;90.483330;-143.840179;2.385135;7.493015;-5.562643;5.028237;-0.267025;-1.478187
6924177;0;0.625979;-89.518578;90.282318;4.940002;90.483238;-143.840118;2.388950;7.502555;-5.565364;5.037775;-0.283713;-1.478187
6924201;0;0.623947;-89.518578;90.282326;4.940026;90.483284;-143.840042;8.042335;7.493970;-5.578993;5.018700;-0.276563;-1.516338
6924225;0;0.548317;-89.518570;90.282295;4.940050;90.483284;-143.840240;23.409840;7.521625;-5.578993;5.004400;-0.262250;-1.480575
6924249;0;0.247939;-89.518631;90.282326;4.940098;90.482483;-143.840271;40.482521;7.936475;-5.559914;5.049700;-0.002375;-1.492500
6924273;0;-0.483640;-89.519691;90.282455;4.940265;90.482605;-143.840317;58.046341;9.058950;-5.487714;5.145062;0.033375;-1.490113
6924297;0;-1.849647;-89.522568;90.282722;4.940408;90.482315;-143.840195;71.578026;11.226650;-5.118500;5.269050;0.081050;-1.471038
6924321;0;-3.954836;-89.529778;90.282990;4.940528;90.482719;-143.840317;71.850777;12.423515;-4.897793;5.385875;-1.118175;-1.487725
6924345;0;-6.739233;-89.536919;90.283104;4.940480;90.482841;-143.839844;62.579147;14.280314;-5.008150;5.302425;0.288475;-1.4591135
6924369;0;-10.035406;-89.540718;90.283279;4.940337;90.482338;-143.839874;48.240658;15.359876;-4.681171;5.209437;0.290863;-1.440037
6924393;0;-13.621267;-89.541870;90.283302;4.940170;90.482361;-143.839935;36.706921;15.542979;-4.813328;5.292888;-0.021450;-1.423350
6924417;0;-17.328703;-89.542068;90.283279;4.940098;90.482605;-143.839401;32.129284;15.293119;-4.828314;5.192750;0.398150;-1.4400370
6924441;0;-21.069317;-89.542488;90.283173;4.940026;90.482773;-143.839539;28.879166;15.221594;-4.820136;5.183212;0.329012;-1.3995130
6924465;0;-24.814621;-89.542793;90.283142;4.939979;90.482491;-143.839554;28.177261;15.471456;-4.871907;5.183212;0.588888;-1.3899750
6924489;0;-28.558092;-89.543037;90.283180;4.940026;90.481934;-143.839569;29.281616;15.583990;-4.843300;5.092613;0.312325;-1.3828250
6924513;0;-32.301575;-89.543495;90.283279;4.939931;90.482269;-143.839691;28.614994;15.644071;-4.686622;5.145062;0.326625;-1.3351370
6924537;0;-36.045582;-89.544060;90.283379;4.939979;90.482849;-143.839401;28.811449;15.667915;-4.638943;5.075925;0.679488;-1.3709000
6924561;0;-39.788975;-89.544662;90.283302;4.939979;90.483040;-143.839523;29.479980;15.640254;-4.652564;5.033012;0.526900;-1.2946130
6924585;0;-43.533554;-89.544998;90.283226;4.939979;90.482826;-143.839600;28.999325;15.781400;-4.658014;5.066387;0.677100;-1.2850750
6924609;0;-47.277454;-89.545387;90.283279;4.939979;90.482224;-143.839554;28.351780;15.795705;-4.606243;5.011550;0.543588;-1.2850750
6924633;0;-51.021046;-89.546089;90.283440;4.939979;90.482658;-143.839676;28.541559;15.657420;-4.531314;5.047312;0.281325;-1.2803000
6924657;0;-54.764957;-89.546432;90.283524;4.940050;90.483231;-143.839645;29.980654;15.766139;-4.427771;4.990100;0.705712;-1.2660000
6924681;0;-58.509315;-89.546638;90.283447;4.940026;90.483406;-143.839584;28.291698;15.728951;-4.426407;4.928100;0.700950;-1.1992380
6924705;0;-62.253391;-89.547020;90.283394;4.940026;90.483139;-143.839722;27.865404;15.780444;-4.490443;4.928100;0.607962;-1.2159250
6924729;0;-65.996475;-89.547371;90.283455;4.940026;90.482582;-143.839874;30.201908;15.703199;-4.446843;4.930488;0.545975;-1.1873120
6924753;0;-69.741135;-89.547646;90.283592;4.939979;90.482727;-143.839737;28.123856;15.701289;-4.320143;4.942413;0.481600;-1.1539380
6924777;0;-73.485924;-89.547806;90.283699;4.940026;90.483475;-143.839645;27.952190;15.778540;-4.276543;4.916187;0.674713;-1.1968500
6924801;0;-77.228737;-89.548012;90.283630;4.940050;90.483597;-143.839905;29.858585;15.707965;-4.279272;4.873275;0.748625;-1.1348620
6924825;0;-80.973335;-89.548286;90.283554;4.940026;90.483208;-143.839661;27.897829;15.697474;-4.301064;4.885187;0.631800;-1.1682500
6924849;0;-84.717896;-89.548462;90.283669;4.940026;90.482773;-143.839798;27.810093;15.660284;-4.252021;4.849425;0.529288;-1.1348620
6924873;0;-88.460938;-89.548584;90.283821;4.940050;90.482849;-143.839539;28.611179;15.683169;-4.148479;4.816050;0.493525;-1.1777880
6924897;0;-92.205055;-89.548714;90.283875;4.940050;90.483521;-143.839905;28.629299;15.646930;-4.079000;4.818438;0.531662;-1.1157880
6924921;0;-95.949303;-89.548882;90.283829;4.940050;90.483719;-143.839905;28.316494;15.596385;-4.091257;4.789825;0.834463;-1.0967250
6924945;0;-99.693237;-89.549004;90.283791;4.940050;90.483284;-143.839844;27.699471;15.557284;-4.159379;4.773138;0.584125;-1.1253250
6924969;0;-103.436623;-89.549088;90.283867;4.940050;90.482918;-143.839996;29.243465;15.559195;-4.099436;4.773138;0.452987;-1.041888
6924993;0;-107.180763;-89.549217;90.284042;4.940050;90.482895;-143.839859;28.221130;15.483854;-3.965921;4.715912;0.541200;-1.053800
6925017;0;-110.925377;-89.549431;90.284142;4.940098;90.483574;-143.839966;27.527805;15.361784;-3.940036;4.694450;0.450600;-1.037112
6925041;0;-114.668694;-89.549530;90.284065;4.940122;90.483833;-143.840027;29.234886;15.435214;-3.927771;4.723063;0.729550;-0.989425
6925065;0;-118.412621;-89.549637;90.284019;4.940170;90.483284;-143.839981;28.295513;15.353200;-3.964557;4.665850;0.600812;-1.025187
6925089;0;-122.157074;-89.549843;90.284142;4.940170;90.482941;-143.839981;27.672764;15.182495;-3.961829;4.665850;0.407687;-1.001350
6925113;0;-125.900330;-89.549980;90.284279;4.940145;90.483017;-143.840256;29.395100;15.185354;-3.833764;4.632463;0.486362;-0.987050
6925137;0;-129.644669;-89.550079;90.284348;4.940170;90.483521;-143.840042;28.292656;15.173910;-3.753386;4.603862;0.529288;-0.987050
6925161;0;-133.388840;-89.550209;90.284348;4.940170;90.483833;-143.840027;28.312679;15.033720;-3.807878;4.596700;0.717637;-0.956050
6925185;0;-137.132538;-89.550316;90.284302;4.940194;90.483330;-143.840042;28.783794;14.945979;-3.865100;4.558562;0.581738;-0.977513
6925209;0;-140.876541;-89.550339;90.284348;4.940170;90.482895;-143.840256;28.410908;14.935491;-3.795622;4.575250;0.424375;-0.946513
6925233;0;-144.618118;-89.550354;90.284515;4.940170;90.482941;-143.840118;25.808331;14.760015;-3.705700;4.568088;0.455375;-0.925062
6925257;0;-148.298172;-89.549889;90.284599;4.940145;90.483253;-143.840240;16.226765;13.109205;-3.810607;4.582400;0.455375;-0.884525
6925281;0;-151.750214;-89.546867;90.284454;4.940050;90.482895;-143.840256;-2.833365;10.255810;-4.098072;4.420275;0.271787;-0.853537
6925305;0;-154.715012;-89.542038;90.284569;4.939501;90.483025;-143.840073;-26.206013;7.100105;-4.325593;4.067412;0.646113;-0.874988
6925329;0;-156.970398;-89.538544;90.284592;4.938354;90.484245;-143.840210;-39.611816;4.704475;-4.773814;3.137587;1.020425;-0.824925
6925353;0;-158.424683;-89.537544;90.284592;4.937924;90.483940;-143.840240;-37.202835;3.433225;-4.610329;2.837175;-0.238412;-0.851150
6925377;0;-159.170624;-89.537445;90.284554;4.938020;90.483818;-143.840302;-22.648809;3.099440;-4.476814;2.677438;0.200263;-0.8153880
6925401;0;-159.444336;-89.537224;90.284378;4.938187;90.483475;-143.840439;-7.592200;2.926825;-4.431857;2.517700;0.405300;-0.82015080
6925425;0;-159.493973;-89.536728;90.284340;4.938474;90.483307;-143.840561;4.028320;2.445220;-4.450928;2.391337;0.448225;-0.808237080
6925449;0;-159.493530;-89.536369;90.284264;4.938665;90.483353;-143.840622;5.351065;1.900670;-4.456378;2.303113;0.452987;-0.791537080
6925473;0;-159.491730;-89.535904;90.284264;4.938736;90.483253;-143.840561;0.458715;1.436230;-4.455021;2.114763;0.371925;-0.817775080
6925497;0;-159.426071;-89.534958;90.284241;4.938856;90.483467;-143.840408;-22.763248;1.206395;-4.509514;1.974100;0.319475;-0.8368370
6925521;0;-159.129562;-89.534126;90.284424;4.938570;90.483597;-143.840225;-39.867401;1.374240;-4.513600;1.411438;0.362388;-0.8392250
6925545;0;-158.396103;-89.534271;90.284515;4.938498;90.483353;-143.840302;-57.336807;2.158160;-4.508150;1.373287;0.154962;-0.7891630
6925569;0;-157.024841;-89.535347;90.284744;4.938593;90.483475;-143.840363;-70.187561;4.511830;-4.068100;1.218313;-0.016688;-0.762937
6925593;0;-154.917099;-89.537567;90.284920;4.938570;90.483833;-143.840012;-71.896545;7.512090;-3.771100;1.037112;1.358975;-0.7581627
6925617;0;-152.125351;-89.539330;90.284897;4.938689;90.483208;-143.840225;-61.870567;9.907721;-3.858293;0.884525;0.786775;-0.7414757
6925641;0;-148.821457;-89.540474;90.285019;4.938999;90.482384;-143.840179;-44.468872;11.205670;-3.784721;0.898838;0.593650;-0.741475
6925665;0;-145.228760;-89.540863;90.284927;4.939286;90.482666;-143.840225;-34.101486;11.122700;-3.833764;0.870225;0.460138;-0.712862
6925689;0;-141.519379;-89.540779;90.284752;4.939548;90.482491;-143.840088;-28.903004;10.922430;-3.886900;0.872600;0.450600;-0.710475
6925713;0;-137.778458;-89.540863;90.284691;4.939597;90.483070;-143.840134;-29.683109;11.100765;-3.956386;0.829688;0.448225;-0.720012
6925737;0;-134.032440;-89.541023;90.284790;4.939740;90.483597;-143.840179;-27.677536;11.314390;-3.953657;0.839225;0.624650;-0.696175
6925761;0;-130.287170;-89.541290;90.284920;4.939835;90.483475;-143.840179;-26.163101;11.407850;-3.811971;0.751013;0.596038;-0.705712
