# Temp Start [C] | A1:321.0 | A2:326.0 | A3:316.0 | A4:321.0 | A5:314.0 | A6:313.0
Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6
7525437;0;0.625957;-89.518578;90.282341;4.940026;90.483284;-143.840317;3.266330;7.356640;-5.810600;5.095000;-0.374312;-1.447200
7525461;0;0.625924;-89.518570;90.282349;4.940026;90.483284;-143.840179;3.272055;7.372855;-5.848743;5.066387;-0.348087;-1.468650
7525485;0;0.625957;-89.518570;90.282326;4.940050;90.483330;-143.840240;3.304480;7.350920;-5.846021;5.075925;-0.340937;-1.459113
7525509;0;0.625979;-89.518570;90.282326;4.940050;90.483261;-143.840317;3.256795;7.355690;-5.843293;5.092613;-0.338550;-1.451963
7525533;0;0.625957;-89.518570;90.282326;4.940050;90.483261;-143.840179;3.227230;7.361410;-5.863729;5.035400;-0.393387;-1.451963
7525557;0;0.625979;-89.518555;90.282326;4.940026;90.483261;-143.840042;3.254890;7.344245;-5.856922;5.049700;-0.362388;-1.463887
7525581;0;0.625968;-89.518547;90.282341;4.940026;90.483261;-143.840179;3.248210;7.339475;-5.811957;5.068775;-0.391000;-1.475800
7525605;0;0.625979;-89.518570;90.282341;4.940026;90.483284;-143.840042;3.259655;7.344245;-5.832393;5.064000;-0.379075;-1.440037
7525629;0;0.623892;-89.518555;90.282326;4.940026;90.483284;-143.840042;8.811950;7.343290;-5.809236;5.085463;-0.364775;-1.468650
7525653;0;0.547163;-89.518570;90.282295;4.940050;90.483284;-143.840179;23.471828;7.390975;-5.813322;5.085463;-0.379075;-1.442425
7525677;0;0.245698;-89.518646;90.282349;4.940145;90.482582;-143.840256;39.787289;7.774350;-5.832393;5.106925;-0.085825;-1.444813
7525701;0;-0.486903;-89.519691;90.282448;4.940289;90.482697;-143.840515;56.432716;8.942600;-5.686621;5.207050;-0.030988;-1.447200
7525725;0;-1.853075;-89.522392;90.282722;4.940480;90.482338;-143.840057;69.795601;11.197090;-5.366457;5.388250;0.023837;-1.437663
7525749;0;-3.958341;-89.529190;90.282967;4.940576;90.482651;-143.840515;69.766037;12.476920;-5.107607;5.505075;-1.230237;-1.432887
7525773;0;-6.742562;-89.536179;90.283104;4.940552;90.482697;-143.839783;60.058586;14.431951;-5.252014;5.397787;0.305175;-1.4424257
7525797;0;-10.038988;-89.539970;90.283295;4.940313;90.482315;-143.839737;45.292850;15.475270;-4.908693;5.354875;0.207412;-1.368513
7525821;0;-13.625101;-89.541023;90.283295;4.940194;90.482414;-143.839600;33.350937;15.640254;-5.038121;5.376338;-0.126350;-1.389975
7525845;0;-17.331581;-89.541214;90.283279;4.940074;90.482483;-143.839417;28.521534;15.463824;-5.032671;5.297650;0.362388;-1.3756755
7525869;0;-21.071196;-89.541718;90.283165;4.940026;90.482704;-143.839401;26.003834;15.409465;-5.049022;5.297650;0.298012;-1.3422875
7525893;0;-24.816269;-89.542076;90.283104;4.940002;90.482414;-143.839478;24.855610;15.666005;-5.113050;5.278575;0.529288;-1.3208375
7525917;0;-28.559509;-89.542389;90.283165;4.940026;90.481812;-143.839432;26.162144;15.772815;-5.062643;5.178450;0.271787;-1.2779125
7525941;0;-32.302967;-89.542824;90.283272;4.940026;90.482201;-143.839554;25.204655;15.851019;-4.916872;5.176063;0.281325;-1.2898375
7525965;0;-36.046417;-89.543571;90.283348;4.939931;90.482727;-143.839600;25.197025;15.894885;-4.840571;5.238050;0.689025;-1.2397755
7525989;0;-39.789986;-89.544266;90.283279;4.939979;90.483040;-143.839401;26.000019;15.860555;-4.884171;5.154600;0.493525;-1.2588505
7526013;0;-43.534401;-89.544609;90.283218;4.939955;90.482727;-143.839401;25.306698;16.020771;-4.896436;5.218975;0.653262;-1.2087755
7526037;0;-47.277630;-89.545074;90.283264;4.940002;90.482101;-143.839432;25.339123;16.013145;-4.832400;5.080688;0.529288;-1.2183135
