# Temp Start [C] | A1:320.0 | A2:324.0 | A3:314.0 | A4:316.0 | A5:313.0 | A6:312.0
Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6
13914671;0;0.625990;-89.518494;90.283615;4.940098;90.483208;-143.840836;-2.501485;0.370975;-7.469993;-2.744187;-1.070487;-0.004763
13914695;0;0.610060;-89.519249;90.319435;4.922806;90.484955;-143.839157;8.138655;2.902030;5.202971;10.578625;0.610350;-0.662800763
13914719;0;0.507986;-89.544815;90.574379;4.461667;90.547768;-143.739822;19.593235;10.020255;17.569401;29.740324;6.103513;-6.728163
13914743;0;0.230779;-89.652435;91.337456;2.794779;90.793671;-143.169479;29.637333;13.010976;29.230114;49.412251;11.231888;-9.009837
13914767;0;-0.295444;-89.870941;92.809296;-0.532311;91.300751;-141.971725;31.803131;14.806745;32.720562;59.401989;10.221000;-9.987350
13914791;0;-1.098105;-90.210381;95.030289;-5.607995;92.064568;-140.163727;29.860493;16.001699;35.176956;60.615540;14.483926;-11.343950
13914815;0;-2.131315;-90.655785;97.921417;-12.281831;93.077644;-137.774963;23.225780;15.161510;28.550280;54.273598;11.446475;-11.761188
13914839;0;-3.307687;-91.156281;101.208801;-19.878542;94.228523;-135.044159;16.567230;13.648030;19.588465;42.674538;9.772776;-10.797976
13914863;0;-4.546000;-91.670303;104.631821;-27.735893;95.417519;-132.215439;12.316700;12.859340;15.363693;39.777748;8.685587;-9.8609886
13914887;0;-5.794157;-92.185829;108.081367;-35.624481;96.609428;-129.389786;11.014935;12.442585;15.978129;37.655823;8.895388;-9.8824506
13914911;0;-7.040632;-92.702011;111.535393;-43.511425;97.801720;-126.578636;12.399670;12.071605;17.114363;38.700100;8.416175;-9.9754256
13914935;0;-8.287965;-93.216721;114.990227;-51.399227;98.994415;-123.766594;11.940955;12.256620;18.126621;39.005272;7.586475;-9.7084006
13914959;0;-9.524806;-93.727753;118.420807;-59.254810;100.181236;-120.953568;7.708545;10.677335;10.384150;33.788673;7.963175;-9.2649376
13914983;0;-10.681128;-94.203819;121.632484;-66.685867;101.306046;-118.276222;0.247000;4.640575;-2.005436;20.678038;4.103175;-7.3552126
13915007;0;-11.657153;-94.531616;124.319710;-72.890846;102.244965;-116.044220;-6.930350;-9.024620;-9.238379;9.095663;3.175725;-4.677763
13915031;0;-12.378812;-94.550537;126.302650;-77.424545;102.935989;-114.413544;-9.842870;-31.174654;-13.157979;1.494875;-0.827300;-3.290175
13915055;0;-12.819430;-94.110489;127.531319;-80.216698;103.354912;-113.406578;-8.143420;-54.028511;-13.499935;-5.874625;-0.491138;-1.785750
13915079;0;-13.020590;-93.036064;128.094818;-81.412323;103.531868;-112.985359;-4.232405;-66.157341;-7.743829;-4.384512;0.796312;-1.26361350
13915103;0;-13.078641;-91.238861;128.263336;-81.669495;103.568199;-112.914352;-0.941275;-69.367401;-2.310614;2.465237;1.957412;-2.133837350
13915127;0;-13.080378;-88.779076;128.265717;-81.693405;103.571732;-112.913055;1.871105;-63.687317;-1.881457;5.586138;2.017012;-1.9788637350
