# Temp Start [C] | A1:309.0 | A2:319.0 | A3:309.0 | A4:314.0 | A5:309.0 | A6:308.0
Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6
5135073;0;0.625968;-89.519470;90.282272;4.939931;90.483238;-143.840851;3.177640;0.829695;-2.261564;1.914500;-0.603188;-1.132488
5135097;0;0.607555;-89.520142;90.328384;4.918866;90.485107;-143.839294;11.657710;3.362655;6.931843;12.311925;1.080025;-1.790513
5135121;0;0.500339;-89.544937;90.596062;4.453762;90.548584;-143.729660;20.054815;10.539050;17.505371;30.002588;6.308550;-6.849763
5135145;0;0.223923;-89.651512;91.362236;2.786443;90.797935;-143.157578;30.639645;14.200211;28.702869;48.429962;10.025499;-9.114738
5135169;0;-0.301586;-89.869614;92.827286;-0.536324;91.301170;-141.964539;33.094406;15.714645;34.965786;60.424797;10.094638;-10.442725
5135193;0;-1.099237;-90.208817;95.042419;-5.607708;92.068153;-140.162018;32.726284;17.227169;37.046158;63.169003;12.607563;-12.078275
5135217;0;-2.127777;-90.655281;97.927055;-12.278392;93.077545;-137.775513;29.270168;15.796659;31.450813;58.102600;11.496537;-12.471675
5135241;0;-3.304325;-91.156555;101.208298;-19.875582;94.227997;-135.053177;21.471020;14.432905;22.751942;47.073360;10.058875;-12.030600
5135265;0;-4.541539;-91.670403;104.628853;-27.731474;95.416466;-132.225861;18.767355;13.672826;19.106178;45.711987;8.990763;-11.0650010
5135289;0;-5.789707;-92.185204;108.079094;-35.620995;96.607780;-129.398148;17.994881;13.761520;19.125257;43.084614;9.737013;-11.2700380
5135313;0;-7.037314;-92.701416;111.532806;-43.509083;97.800842;-126.581619;18.664360;13.117790;20.682465;44.007301;8.823863;-11.4583870
5135337;0;-8.287163;-93.216080;114.988708;-51.398174;98.993843;-123.767891;17.217634;13.157840;21.313257;43.618675;7.803438;-11.0340000
5135361;0;-9.523817;-93.727257;118.419685;-59.254402;100.180481;-120.958992;13.328549;11.655806;13.401842;38.328163;8.614062;-10.554788
5135385;0;-10.679722;-94.203545;121.632317;-66.685555;101.305077;-118.276833;6.522175;5.561825;0.722064;25.212761;4.937638;-8.280275788
5135409;0;-11.657824;-94.532127;124.320633;-72.891945;102.244377;-116.037750;-2.277370;-8.293150;-6.426400;12.872213;3.714550;-5.877012
5135433;0;-12.381823;-94.551308;126.308365;-77.427536;102.933212;-114.406281;-6.834980;-30.460354;-11.787415;3.964900;0.474450;-3.831375
5135457;0;-12.822352;-94.111641;127.538361;-80.220520;103.354240;-113.396645;-4.491805;-53.600311;-12.133457;-4.019725;-0.038137;-2.174375
5135481;0;-13.027225;-93.037392;128.109360;-81.417625;103.532333;-112.972343;-3.568645;-65.703392;-8.183886;-4.427425;1.015663;-1.26600075
5135505;0;-13.085750;-91.244034;128.276184;-81.676331;103.570030;-112.899101;-1.084325;-70.744507;-2.064022;1.626012;1.490113;-1.842975075
5135529;0;-13.087903;-88.785110;128.280350;-81.699181;103.572945;-112.899109;1.128195;-65.101616;-2.242493;4.734987;2.121925;-1.6498505075
5135553;0;-13.086695;-85.762001;128.255524;-81.700188;103.572624;-112.900406;0.707625;-50.503731;-1.662114;3.619187;2.169600;-1.0824125075
5135577;0;-13.086661;-82.356140;128.244385;-81.699043;103.572197;-112.903412;0.412940;-40.523525;-2.638950;2.310275;2.102850;-0.6055755075
5135601;0;-13.086508;-78.741104;128.234528;-81.698441;103.571877;-112.907227;0.244140;-31.760216;-2.809250;1.425738;2.157688;-0.2717875075
5135625;0;-13.085893;-75.032532;128.233612;-81.698013;103.571770;-112.910515;0.344275;-25.263786;0.217979;0.665188;2.012250;-0.03337575075
5135649;0;-13.085837;-71.291458;128.236679;-81.697342;103.571449;-112.913139;0.080105;-21.597858;0.629421;0.143050;2.341262;0.226488575075
5135673;0;-13.085903;-67.550415;128.237488;-81.696152;103.571289;-112.918579;-0.087735;-21.644588;0.923700;-0.314712;1.957412;0.4172255075
5135697;0;-13.085409;-63.810078;128.238007;-81.695099;103.571388;-112.924347;-0.018115;-22.056576;1.314707;-1.063337;2.050387;0.4553755075
5135721;0;-13.085332;-60.067165;128.238342;-81.694481;103.570946;-112.929222;-0.156400;-19.303320;1.667564;-1.313675;2.241125;0.4863625075
5135745;0;-13.085365;-56.322739;128.238678;-81.693932;103.570992;-112.932304;-0.524520;-18.589016;1.911436;-1.463887;1.862038;0.5745885075
5135769;0;-13.085135;-52.579666;128.239014;-81.693359;103.571053;-112.933998;-0.344275;-19.163130;2.232957;-1.659388;2.069463;0.6461135075
5135793;0;-13.084914;-48.836559;128.239288;-81.692451;103.570869;-112.937660;-0.432010;-17.008780;2.547672;-1.943100;2.088537;0.6031885075
5135817;0;-13.084948;-45.093910;128.239548;-81.691658;103.570908;-112.940010;-0.647540;-17.325399;2.771100;-2.276888;1.909725;0.6151125075
5135841;0;-13.084860;-41.350132;128.239807;-81.691299;103.570923;-112.941185;-0.624655;-16.624451;3.070828;-2.474775;2.055163;0.6628005075
5135865;0;-13.084640;-37.606335;128.239914;-81.691185;103.570778;-112.941711;-0.672340;-16.037939;3.356929;-2.429475;2.045625;0.7700875075
5135889;0;-13.084661;-33.863094;128.240173;-81.691063;103.570900;-112.942032;-0.741955;-15.782354;3.568100;-2.512925;1.993175;0.8010755075
5135913;0;-13.084596;-30.120129;128.240173;-81.690536;103.570770;-112.942345;-0.833510;-14.534950;3.446850;-2.768038;2.069463;0.8559125075
5135937;0;-13.084464;-26.393543;128.238068;-81.690041;103.570694;-112.943062;-0.788685;-10.334965;0.976829;-3.008837;1.890650;0.9202875075
5135961;0;-13.084332;-22.747808;128.227997;-81.689796;103.570686;-112.943443;-0.821110;-1.709935;-0.168936;-3.175725;1.971712;0.9441375075
5135985;0;-13.084299;-19.276360;128.214264;-81.689705;103.570518;-112.943581;-0.849720;7.011410;-0.377379;-3.163813;1.988400;0.98227575075
5136009;0;-13.084046;-16.097113;128.202301;-81.689537;103.570320;-112.944176;-0.791545;18.881794;-0.904621;-2.863400;2.193450;1.0681125075
5136033;0;-13.083937;-13.332590;128.192703;-81.688774;103.570122;-112.944420;-0.767705;28.296471;-0.918250;-2.777575;2.248275;1.0895625075
5136057;0;-13.083970;-11.065617;128.191711;-81.688988;103.570023;-112.944954;-0.808715;33.468246;-0.189371;-2.350800;2.274513;1.1301005075
5136081;0;-13.083761;-9.337643;128.192307;-81.688530;103.569969;-112.945267;-0.895500;38.284298;0.215257;-2.951612;2.298350;1.072875005075
5136105;0;-13.083871;-8.139782;128.198746;-81.688507;103.570045;-112.946259;-0.592230;34.091946;3.708429;-2.732275;2.319813;1.089562005075
5136129;0;-13.083926;-7.392019;128.210037;-81.688583;103.570068;-112.946587;-0.873565;30.606264;3.779271;-2.839562;2.379413;1.087188005075
5136153;0;-13.083948;-6.995896;128.218384;-81.688148;103.570206;-112.947029;-0.817295;24.689671;4.501336;-2.453325;2.341262;1.084800005075
5136177;0;-13.083970;-6.827959;128.224960;-81.688293;103.570229;-112.947563;-0.841140;19.155499;5.747929;-2.591600;2.310275;1.068112005075
5136201;0;-13.084014;-6.776598;128.230072;-81.688416;103.570351;-112.948029;-0.853535;13.648985;4.931857;-2.574913;2.338875;1.046650005075
5136225;0;-13.083981;-6.775192;128.228973;-81.688416;103.570404;-112.948357;-0.779150;11.734005;3.437314;-2.586838;2.343650;0.984662005075
5136249;0;-13.083970;-6.774906;128.228668;-81.688416;103.570496;-112.948616;-0.839230;11.258125;3.404614;-2.555837;2.312650;0.944137005075
5136273;0;-13.083475;-6.774588;128.227966;-81.705276;103.571205;-112.949989;-1.773830;10.725975;2.963200;12.228487;2.739425;1.261225005075
5136297;0;-13.082146;-6.773884;128.227570;-82.185165;103.590012;-113.020462;-2.814290;10.419845;2.551757;29.015537;5.021088;3.852838005075
5136321;0;-13.081190;-6.773192;128.227631;-83.907555;103.673027;-113.344078;-3.243445;10.099410;2.754750;46.439163;4.367825;7.200237005075
5136345;0;-13.080894;-6.772511;128.227692;-87.312645;103.832947;-114.062729;-3.621100;9.734150;2.761564;54.929249;4.711150;7.5149507005075
5136369;0;-13.080410;-6.771698;128.227737;-92.467484;104.074570;-115.139412;-3.594395;9.467120;2.971371;61.297409;5.233287;8.4996137005075
5136393;0;-13.080915;-6.770665;128.228088;-99.215668;104.391029;-116.558945;-2.302165;9.287829;3.565378;56.700699;5.004400;8.3112637005075
5136417;0;-13.081432;-6.770072;128.228012;-106.865730;104.750237;-118.173195;-1.367565;8.958815;3.396443;45.487873;3.912437;7.762900005075
5136441;0;-13.081465;-6.769325;128.227737;-114.737511;105.117432;-119.825790;-1.217840;8.731840;3.294257;40.888775;4.980563;7.314675005075
5136465;0;-13.082113;-6.768479;128.227768;-122.615685;105.487495;-121.483604;-0.203130;8.666990;3.555836;40.664665;3.876675;7.772438005075
5136489;0;-13.090429;-6.765095;128.227188;-130.178360;105.840027;-123.090424;7.324215;5.755420;2.373286;19.521711;4.816050;6.0749008005075
5136513;0;-13.162863;-6.725523;128.201630;-136.534286;106.145233;-124.430397;19.062994;3.295895;-0.363757;8.842937;3.755087;5.278575005075
5136537;0;-13.334128;-6.624130;128.137787;-141.305008;106.400543;-125.485344;28.769489;0.146865;-2.666200;3.359313;2.987375;4.801750005075
5136561;0;-13.689295;-6.423266;128.007721;-144.525818;106.623207;-126.271301;33.856388;-2.632140;-4.047664;-2.751350;4.053113;3.9744375075
5136585;0;-14.287401;-6.080724;127.780952;-146.341400;106.839058;-126.852165;45.267105;-7.123945;-4.997250;0.705712;4.291525;4.40358775075
5136609;0;-15.168911;-5.568300;127.431587;-147.484512;107.093468;-127.395752;51.151276;-9.012220;-6.258821;13.766287;5.352488;4.7850505075
5136633;0;-16.339119;-4.881929;126.961128;-148.763550;107.426041;-128.081635;48.748970;-7.421490;-6.946836;17.652500;8.022775;4.4178875075
5136657;0;-17.777021;-4.047913;126.385918;-150.307632;107.834465;-128.910843;40.277481;-5.298610;-7.034029;18.496511;5.822175;5.1975255075
5136681;0;-19.403877;-3.103956;125.732513;-152.059738;108.296593;-129.867828;37.848469;-4.826545;-6.589886;18.620487;5.140300;5.1760635075
5136705;0;-21.162579;-2.085711;125.024284;-153.948212;108.794205;-130.885941;32.418251;-2.050395;-6.818765;17.642963;5.195138;5.5122385075
5136729;0;-22.991650;-1.023673;124.289200;-155.909851;109.308937;-131.950073;27.874943;0.677105;-5.347385;17.158976;6.978500;5.17128885075
5136753;0;-24.859478;0.050691;123.547783;-157.887054;109.831322;-133.026688;26.393890;0.205990;-5.562643;17.600050;7.562624;5.013937885075
5136777;0;-26.734154;1.126802;122.808105;-159.864685;110.354362;-134.105392;24.526594;-0.113485;-6.446836;17.936226;5.784025;4.87803785075
5136801;0;-28.607454;2.207142;122.063431;-161.841919;110.873299;-135.167923;24.903294;1.588820;-5.252014;17.411699;6.608962;5.347725785075
5136825;0;-30.480688;3.285912;121.320045;-163.821365;111.393959;-136.241165;24.697300;0.598905;-4.915507;16.324512;8.223050;5.238050785075
5136849;0;-32.352486;4.363835;120.580513;-165.798950;111.917068;-137.328308;24.373051;-0.389095;-5.464550;17.733562;6.959437;4.47511285075
5136873;0;-34.223049;5.444715;119.837860;-167.776825;112.437317;-138.398743;26.346203;0.439640;-5.826950;17.709724;5.519388;4.897112285075
5136897;0;-36.097450;6.522923;119.094521;-169.753479;112.957138;-139.470184;23.842810;0.369070;-5.534036;17.509451;6.592263;4.665850285075
5136921;0;-37.969234;7.603638;118.351776;-171.732071;113.479736;-140.541290;23.646351;0.263210;-4.835128;17.278187;7.159700;4.601475285075
5136945;0;-39.839184;8.681912;117.609749;-173.710785;114.000893;-141.620895;25.857925;-0.768660;-5.129400;17.609587;6.434912;4.52995085075
5136969;0;-41.713200;9.761353;116.869270;-175.688660;114.520729;-142.685135;23.951530;-0.151630;-5.839207;17.983912;6.425375;5.12598885075
5136993;0;-43.584248;10.842913;116.125313;-177.664978;115.040855;-143.755234;23.917194;0.720020;-4.995886;18.155563;8.525837;5.07116285075
