Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6
1078276;0;0.625957;-89.518021;90.282043;4.939835;90.483383;-143.840714;3.070830;6.643295;-1.688000;1.401900;0.488750;-1.511562
1078300;0;0.607665;-89.519402;90.328018;4.921039;90.485466;-143.839340;11.625285;8.907315;7.504050;13.680450;2.174375;-2.238750
1078324;0;0.501075;-89.553955;90.595177;4.458300;90.550758;-143.733444;20.640369;11.959075;18.498550;32.455914;6.656638;-7.610313
1078348;0;0.226176;-89.665009;91.354263;2.794826;90.798317;-143.161880;32.350540;15.306470;31.963072;54.073326;11.377325;-9.853838
1078372;0;-0.295818;-89.884865;92.804459;-0.515856;91.299644;-141.974274;37.281990;16.515730;40.919434;72.185989;11.157988;-12.094963
1078396;0;-1.087163;-90.219376;95.012291;-5.588626;92.067055;-140.190201;41.783329;20.188330;44.302258;76.308250;13.301362;-14.717574
1078420;0;-2.117230;-90.658951;97.895996;-12.261530;93.075417;-137.790405;37.925720;19.715305;38.329529;72.686661;13.599387;-14.357562
1078444;0;-3.296788;-91.157402;101.177414;-19.863256;94.225212;-135.066544;27.484890;17.987249;30.681065;60.474861;12.266624;-13.952250
1078468;0;-4.533157;-91.670944;104.603630;-27.723091;95.412994;-132.241837;29.109001;17.064091;26.964457;59.382908;12.271399;-13.494487
1078492;0;-5.782577;-92.185455;108.056526;-35.614784;96.605286;-129.406845;26.584625;17.549511;25.997156;56.385986;12.435912;-13.077250
1078516;0;-7.032469;-92.701584;111.513496;-43.506359;97.799408;-126.590271;25.984760;16.620634;28.638836;56.052200;11.534687;-13.754362
1078540;0;-8.285471;-93.215820;114.974602;-51.395786;98.992966;-123.770210;25.162693;17.083164;28.156549;56.107037;10.542863;-13.279912
1078564;0;-9.521564;-93.727570;118.408966;-59.255455;100.180206;-120.962402;22.149084;15.332220;21.416800;50.780762;11.320112;-12.934200
1078588;0;-10.682775;-94.211411;121.638245;-66.718010;101.308731;-118.276306;14.913554;11.315345;7.632114;37.732113;8.046625;-10.6358500
1078612;0;-11.669875;-94.616325;124.339424;-72.965439;102.255409;-116.011536;2.539630;6.978985;-2.889628;22.451874;5.953300;-7.390975500
1078636;0;-12.396698;-94.911560;126.323929;-77.506966;102.944550;-114.371506;-2.328870;4.645345;-10.029928;14.569751;2.596375;-6.0820500
1078660;0;-12.840633;-95.093315;127.549568;-80.304993;103.366638;-113.359436;-1.895900;2.333640;-11.100764;0.910750;1.788137;-2.92062500
1078684;0;-13.046979;-95.172142;128.107117;-81.492119;103.544418;-112.927132;-5.146025;1.670835;-11.465885;-3.225800;1.871575;-1.4972620
1078708;0;-13.097835;-95.187576;128.253143;-81.706779;103.575615;-112.866432;-1.573560;1.039505;-4.881450;2.393713;2.954000;-1.602162620
1078732;0;-13.096209;-95.183578;128.262833;-81.713493;103.576653;-112.869545;0.166890;2.258300;-4.453657;3.790850;2.870550;-0.8869122620
1078756;0;-13.093737;-95.181656;128.259247;-81.712082;103.576416;-112.875511;-0.164030;1.800535;-4.569457;1.940725;2.422325;-0.219338620
1078780;0;-13.093352;-95.152206;128.264847;-81.709549;103.575989;-112.881828;-1.048085;-10.029790;-1.483643;0.574588;2.129075;0.05721320
1078804;0;-13.091913;-94.993858;128.280243;-81.706902;103.575516;-112.892372;-1.042365;-24.600979;-1.888271;-0.221725;1.990788;0.3790750
1078828;0;-13.089583;-94.565361;128.287888;-81.704224;103.574875;-112.900154;-0.902175;-44.478416;0.422336;-0.705712;2.136225;0.76770050
1078852;0;-13.089155;-93.679352;128.295731;-81.701927;103.575058;-112.909897;-1.431465;-64.398766;1.493179;-1.869200;1.316062;0.77008750
1078876;0;-13.087716;-92.160469;128.300888;-81.699615;103.575005;-112.918457;-1.022335;-78.274727;1.568107;-2.481925;0.987050;0.76293750
1078900;0;-13.086673;-89.960793;128.282364;-81.697372;103.574677;-112.923470;-0.970840;-78.859322;-1.479557;-2.415175;0.877375;0.9107500
1078924;0;-13.086309;-87.140831;128.257568;-81.695961;103.574104;-112.928650;-1.102445;-68.485260;-0.058579;-1.962175;0.705712;0.9274370
1078948;0;-13.086079;-83.855095;128.245895;-81.693954;103.573471;-112.932419;-1.251220;-56.383133;-1.444129;-2.439013;0.672338;1.0037370
