Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6;Auto_Label
1170928;0;0.625946;-89.518005;90.282127;4.939811;90.483284;-143.840775;3.108975;6.63185;-1.634864;1.556862;0.503062;-1.49965;AWARIA
1170952;0;0.607643;-89.519356;90.328285;4.920776;90.485519;-143.839355;11.55567;8.882521;7.489064;13.642301;2.1553;-2.231587;AWARIA
1170976;0;0.500911;-89.553711;90.595657;4.457822;90.550911;-143.733063;20.531651;12.00294;18.446785;32.427299;6.597038;-7.588862;AWARIA
1171000;0;0.225934;-89.664719;91.354767;2.794229;90.798332;-143.163422;32.123566;15.336035;31.835007;53.601265;11.153213;-9.932513;AWARIA
1171024;0;-0.296279;-89.884773;92.805954;-0.51674;91.299965;-141.973694;37.052147;16.436575;40.600636;71.904648;11.198512;-12.0449;AWARIA
1171048;0;-1.08769;-90.219818;95.014992;-5.589342;92.067451;-140.190552;41.418076;19.996639;43.547493;75.588226;13.308525;-14.793862;AWARIA
1171072;0;-2.117703;-90.659363;97.898796;-12.262079;93.075882;-137.789749;37.405964;19.644733;37.725994;71.396828;12.800688;-14.195437;AWARIA
1171096;0;-3.297206;-91.15818;101.179443;-19.863377;94.225433;-135.067078;27.281761;17.846104;30.388149;60.670376;12.311925;-13.93795;AWARIA
1171120;0;-4.533882;-91.671799;104.605499;-27.723783;95.413002;-132.238892;28.219219;16.716;26.363644;58.493614;12.35485;-13.353813;AWARIA
1171144;0;-5.782874;-92.186211;108.057899;-35.615955;96.605682;-129.402527;26.328083;17.30728;25.911327;55.413239;12.2857;-13.139237;AWARIA
1171168;0;-7.032656;-92.702362;111.51503;-43.50679;97.799629;-126.589226;25.667191;16.256329;28.268265;55.317871;11.296263;-13.740063;AWARIA
1171192;0;-8.285548;-93.216446;114.975876;-51.395859;98.992821;-123.773315;24.58572;16.90769;27.698786;55.472851;10.528563;-13.062949;AWARIA
1171216;0;-9.521795;-93.727905;118.409691;-59.255882;100.180237;-120.967758;21.497725;15.17868;21.057129;50.089348;11.026851;-12.774463;AWARIA
1171240;0;-10.683072;-94.211441;121.63855;-66.718277;101.308784;-118.272682;14.29462;11.141775;7.294243;36.993023;7.917875;-10.3497503;AWARIA
1171264;0;-11.66959;-94.616089;124.339066;-72.965508;102.255165;-116.005806;2.436635;6.950375;-3.11715;22.110937;5.929462;-7.479188503;AWARIA
1171288;0;-12.396083;-94.911156;126.322746;-77.506752;102.944572;-114.376572;-2.34413;4.66442;-10.0163;14.071463;2.4557;-5.9151633;AWARIA
1171312;0;-12.840326;-95.09256;127.548622;-80.304497;103.366486;-113.358696;-2.003665;2.42805;-11.241093;0.498288;1.714225;-3.03267533;AWARIA
1171336;0;-13.04666;-95.171516;128.105942;-81.490158;103.545639;-112.926689;-5.406375;1.758575;-11.580329;-1.666538;0.584125;-1.2946133;AWARIA
1171360;0;-13.097142;-95.186897;128.251373;-81.706108;103.575218;-112.868141;-1.431465;1.00231;-4.737036;2.25305;2.925388;-1.606938133;AWARIA
1171384;0;-13.095956;-95.183029;128.261322;-81.712891;103.576355;-112.870987;-0.00286;2.171515;-4.425043;3.80515;2.832412;-0.936975133;AWARIA
1171408;0;-13.093451;-95.181259;128.257751;-81.711601;103.576141;-112.876953;-0.154495;1.722335;-4.56265;1.9288;2.47955;-0.283713133;AWARIA
1171432;0;-13.093022;-95.152031;128.263596;-81.709236;103.575699;-112.883614;-0.96607;-10.19001;-1.498629;0.51975;2.183913;0.01430033;AWARIA
1171456;0;-13.09177;-94.993759;128.279297;-81.706612;103.575348;-112.89283;-1.096725;-24.623869;-1.904621;-0.312325;1.976487;0.3600003;AWARIA
1171480;0;-13.089507;-94.565048;128.287018;-81.704102;103.574829;-112.900414;-0.95272;-44.359203;0.433236;-0.815388;2.179137;0.71047503;AWARIA
1171504;0;-13.089111;-93.678291;128.294922;-81.701668;103.574913;-112.910088;-1.41716;-64.058296;1.532686;-1.888275;1.373287;0.76293703;AWARIA
1171528;0;-13.087694;-92.158684;128.30014;-81.699348;103.574875;-112.918648;-1.07479;-77.775955;1.6662;-2.4414;1.027575;0.70332503;AWARIA
1171552;0;-13.086673;-89.958832;128.281845;-81.697182;103.574554;-112.923592;-1.04713;-78.00769;-1.465929;-2.360337;0.972737;0.9155253;AWARIA
1171576;0;-13.086299;-87.13829;128.257263;-81.695793;103.574005;-112.928642;-1.15299;-67.549706;-0.055857;-1.87635;0.743863;0.9155253;AWARIA
1171600;0;-13.086068;-83.853073;128.245804;-81.69381;103.573494;-112.932747;-1.294135;-55.715561;-1.483643;-2.44855;0.703325;0.9202873;AWARIA
1171624;0;-13.085354;-80.293633;128.233917;-81.692665;103.572853;-112.934639;-1.120565;-44.631001;-1.882822;-2.412787;0.603188;1.0824123;AWARIA
1171648;0;-13.085222;-76.608437;128.230591;-81.692017;103.572311;-112.937271;-1.21784;-39.908405;-0.844679;-2.589225;0.765312;1.0585753;AWARIA
1171672;0;-13.085101;-72.869141;128.234085;-81.691711;103.571632;-112.938599;-1.25408;-34.713745;0.194821;-2.3961;0.853537;1.08956253;AWARIA
1171696;0;-13.084958;-69.12146;128.23587;-81.690254;103.570503;-112.939972;-1.379965;-32.920834;0.723429;-1.931188;0.905988;1.15632553;AWARIA
1171720;0;-13.084805;-65.376549;128.236832;-81.688911;103.567207;-112.94207;-1.32751;-31.648636;0.7643;-1.626012;2.510538;1.08956253;AWARIA
1171744;0;-13.084783;-61.632904;128.237152;-81.688553;103.567612;-112.944359;-1.441;-31.978603;1.286093;-1.802438;2.322187;1.05142553;AWARIA
1171768;0;-13.084661;-57.886185;128.23761;-81.688744;103.568024;-112.945404;-1.499175;-31.181335;1.587186;-1.881113;2.372262;1.09433753;AWARIA
1171792;0;-13.084409;-54.140865;128.2379;-81.689201;103.568222;-112.945419;-1.32942;-28.96595;1.855571;-1.761913;2.768038;1.08480053;AWARIA
1171816;0;-13.084387;-50.396683;128.238144;-81.689178;103.568291;-112.94574;-1.51062;-29.650684;2.224786;-1.783363;2.832412;1.11102553;AWARIA
1171840;0;-13.084354;-46.651291;128.23848;-81.688889;103.568481;-112.945923;-1.52683;-28.651234;2.476821;-1.8692;2.9087;1.10387553;AWARIA
1171864;0;-13.084211;-42.904545;128.238754;-81.688606;103.568428;-112.946182;-1.479145;-26.155468;2.753393;-2.02655;3.178113;1.10863853;AWARIA
1171888;0;-13.084223;-39.160305;128.239059;-81.688698;103.568573;-112.946373;-1.553535;-26.922226;3.058564;-2.067088;3.170963;1.12056253;AWARIA
1171912;0;-13.084211;-35.416737;128.239349;-81.689034;103.568771;-112.946518;-1.556395;-26.567455;3.316057;-1.924038;3.352163;1.14678853;AWARIA
1171936;0;-13.084102;-31.672255;128.239578;-81.689056;103.568871;-112.946579;-1.55544;-25.419235;3.544943;-1.873963;3.449912;1.13486253;AWARIA
1171960;0;-13.08408;-27.934343;128.239029;-81.688721;103.569031;-112.946892;-1.587865;-23.28968;2.280643;-2.052775;3.4523;1.13963753;AWARIA
1171984;0;-13.084036;-24.244772;128.231613;-81.68853;103.569176;-112.947075;-1.590725;-16.445156;0.0;-2.138613;3.664488;1.14917553;AWARIA
1172008;0;-13.083937;-20.684772;128.218231;-81.688553;103.569153;-112.947144;-1.5316;-6.701465;0.07765;-2.205363;3.733625;1.156325553;AWARIA
1172032;0;-13.083783;-17.366364;128.204544;-81.689201;103.569206;-112.947235;-1.504895;6.54602;-0.497271;-1.802438;3.864763;1.127712553;AWARIA
1172056;0;-13.083739;-14.415842;128.193069;-81.689133;103.569328;-112.947227;-1.470565;16.576765;-0.712529;-2.081388;3.929137;1.15871353;AWARIA
1172080;0;-13.083652;-11.934042;128.188126;-81.688316;103.569313;-112.947594;-1.426695;24.05357;-0.314707;-1.7333;4.003037;1.18493853;AWARIA
1172104;0;-13.083607;-9.977124;128.189209;-81.688416;103.569321;-112.947334;-1.60408;29.989239;0.39645;-2.076625;4.072187;1.1444003853;AWARIA
1172128;0;-13.083618;-8.562019;128.193481;-81.688438;103.569466;-112.947594;-1.631735;29.75082;2.489086;-2.1696;4.146088;1.1730123853;AWARIA
1172152;0;-13.083728;-7.635223;128.205048;-81.688316;103.569603;-112.947845;-1.45721;29.560085;3.061293;-1.78575;4.184237;1.1110253853;AWARIA
1172176;0;-13.083739;-7.104727;128.215103;-81.688461;103.569801;-112.947975;-1.41048;24.807926;4.427771;-1.9884;4.127025;1.1324883853;AWARIA
1172200;0;-13.083761;-6.853063;128.223938;-81.688293;103.569992;-112.948097;-1.36852;20.24555;5.386893;-1.98125;4.110325;1.1110253853;AWARIA
1172224;0;-13.083849;-6.763876;128.232239;-81.68853;103.570259;-112.948494;-1.398085;14.24503;5.401878;-2.050387;4.060263;1.0967253853;AWARIA
1172248;0;-13.083859;-6.747605;128.231674;-81.68853;103.570526;-112.948814;-1.411435;13.34095;3.177093;-2.040863;4.012575;1.0585753853;AWARIA
1172272;0;-13.083838;-6.747825;128.230804;-81.68853;103.57074;-112.949142;-1.431465;13.45825;3.2275;-2.040863;3.85045;1.0585753853;AWARIA
1172296;0;-13.083849;-6.748023;128.230606;-81.689011;103.570892;-112.94928;-1.53732;13.77964;2.837857;-0.808237;3.945825;1.0442633853;AWARIA
1172320;0;-13.082904;-6.748363;128.229553;-81.836563;103.577293;-112.966209;-3.057475;14.034269;2.174371;20.565975;4.8089;2.4056383853;AWARIA
1172344;0;-13.08119;-6.748528;128.229416;-82.844772;103.626244;-113.12793;-3.422735;14.287946;2.118514;42.8009;4.374975;6.5112003853;AWARIA
1172368;0;-13.080641;-6.74877;128.229446;-85.381058;103.743492;-113.657021;-3.73268;14.62841;2.275193;58.913223;6.077287;6.8378373853;AWARIA
1172392;0;-13.080048;-6.749055;128.229507;-89.655388;103.94326;-114.55352;-3.936765;14.87541;2.179821;71.854584;6.470675;7.7199883853;AWARIA
1172416;0;-13.079938;-6.749451;128.229782;-95.655617;104.22673;-115.797905;-3.131865;15.155789;2.687993;74.164864;4.897112;9.9396623853;AWARIA
1172440;0;-13.080575;-6.750022;128.229858;-102.967903;104.569473;-117.335442;-1.77383;15.16151;3.087179;62.568188;4.975788;9.603500853;AWARIA
1172464;0;-13.080915;-6.750659;128.229645;-110.785797;104.935013;-118.987663;-1.313205;15.465734;2.6226;54.848186;4.267687;9.348388853;AWARIA
1172488;0;-13.081158;-6.75111;128.229416;-118.669273;105.303108;-120.652596;-0.853535;15.626904;2.656657;53.105347;4.794588;8.995524853;AWARIA
1172512;0;-13.08241;-6.751253;128.229492;-126.435707;105.665703;-122.27607;0.482555;15.926359;2.97955;43.039314;2.367487;8.4877004853;AWARIA
1172536;0;-13.085519;-6.752099;128.228912;-133.498123;105.997635;-123.771759;1.96838;15.64121;3.010886;22.814262;1.692762;7.2813004853;AWARIA
1172560;0;-13.085694;-6.752296;128.227386;-139.004974;106.256821;-124.959015;2.46429;16.098019;2.745214;9.970663;3.2854;5.24043804853;AWARIA
1172584;0;-13.086102;-6.753658;128.226517;-142.767853;106.436188;-125.745567;2.815245;15.63549;3.054479;0.047675;1.688;3.95058804853;AWARIA
1172608;0;-13.086562;-6.754098;128.226715;-144.806137;106.53096;-126.195335;1.969335;15.92922;2.673007;-4.75645;1.70945;1.9359504853;AWARIA
1172632;0;-13.085299;-6.75457;128.226181;-145.424667;106.556664;-126.317032;-0.12207;16.081806;2.216607;-3.244875;2.489088;2.436637853;AWARIA
1172656;0;-13.08475;-6.754669;128.226379;-145.470093;106.557785;-126.321007;-0.149725;16.076084;2.742493;1.080025;3.237712;2.1076127853;AWARIA
1172680;0;-13.084783;-6.754768;128.226501;-145.47052;106.557411;-126.319847;-0.333785;16.25919;2.698893;0.040525;3.366462;1.4758007853;AWARIA
1172704;0;-13.087035;-6.753801;128.226257;-145.469162;106.55732;-126.317757;5.82695;13.41438;1.889636;-1.516338;3.366462;0.9870507853;AWARIA
1172728;0;-13.155403;-6.727149;128.205444;-145.477585;106.560646;-126.317757;19.855495;5.210875;-1.776557;7.164475;4.932875;1.3184507853;AWARIA
1172752;0;-13.350992;-6.630183;128.138962;-145.615082;106.598938;-126.349991;36.166191;-2.789495;-4.393707;10.0708;5.016325;4.37497553;AWARIA
