Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6;Auto_Label
1853272;OK;0.625935;-89.517906;90.282257;4.939811;90.483337;-143.840378;3.425595;6.963725;-1.265657;4.584787;0.438687;-1.435275;OK
1853296;OK;0.60817;-89.519257;90.328461;4.917862;90.48539;-143.839264;12.260435;9.239195;7.843286;13.935563;2.188675;-2.160063;OK
1853320;OK;0.500735;-89.55323;90.596001;4.454049;90.550049;-143.7323;20.685194;12.47978;18.790106;33.454887;6.952275;-7.495875;OK
1853344;OK;0.225802;-89.664337;91.35556;2.79091;90.798042;-143.16394;32.46307;15.77854;31.948086;54.130547;11.408325;-9.94205;OK
1853368;OK;-0.296971;-89.884766;92.809402;-0.525433;91.300072;-141.978363;36.665916;16.570089;40.272301;69.88047;11.918537;-11.794562;OK
1853392;OK;-1.092645;-90.221153;95.016655;-5.592686;92.066391;-140.179626;38.006779;19.411085;43.81588;76.575272;14.324188;-13.887875;OK
1853416;OK;-2.120109;-90.66188;97.898354;-12.265448;93.074707;-137.79393;35.646435;19.236561;38.527077;71.370605;14.011849;-14.650813;OK
1853440;OK;-3.297162;-91.159584;101.180916;-19.865383;94.225418;-135.068863;28.241154;17.924305;30.513487;60.095776;12.276162;-14.333714;OK
1853464;OK;-4.535914;-91.673401;104.605049;-27.725193;95.414833;-132.24086;24.96147;16.652103;26.07618;57.528011;10.8695;-13.384813;OK
1853488;OK;-5.784928;-92.188271;108.058571;-35.616528;96.606804;-129.410629;24.669645;16.461369;26.138851;54.457188;11.422626;-13.315675;OK
1853512;OK;-7.033788;-92.703568;111.51667;-43.506123;97.798988;-126.591797;24.848934;16.261099;27.606142;56.242935;12.087812;-13.742438;OK
1853536;OK;-8.284197;-93.217216;114.977448;-51.396645;98.99247;-123.771645;24.104115;16.5863;27.472628;54.931633;10.74075;-13.256063;OK
1853560;OK;-9.522575;-93.728287;118.411766;-59.253807;100.180305;-120.961815;19.84119;15.014646;21.054401;52.061073;10.898112;-13.103475;OK
1853584;OK;-10.684336;-94.211983;121.640205;-66.718391;101.309853;-118.271729;12.322425;10.971065;7.01495;36.15855;6.742475;-10.6739885;OK
1853608;OK;-11.668876;-94.61673;124.339516;-72.96582;102.25573;-116.014313;1.729965;6.7358;-3.064014;21.734238;5.56945;-7.643688885;OK
1853632;OK;-12.394875;-94.912315;126.319847;-77.506996;102.943947;-114.368156;-1.435275;4.081725;-8.435928;13.184537;2.61545;-5.45501385;OK
1853656;OK;-12.838985;-95.093239;127.547394;-80.304085;103.365829;-113.358307;-2.85053;2.636905;-12.141636;0.472062;1.678463;-3.21865085;OK
1853680;OK;-13.043661;-95.171486;128.105392;-81.491348;103.542931;-112.931244;-4.263875;1.663205;-10.99995;-3.573887;2.3651;-1.7714505;OK
1853704;OK;-13.097614;-95.18512;128.252075;-81.704514;103.573746;-112.866608;-2.348895;1.729965;-5.226129;3.314013;3.345013;-1.671313505;OK
1853728;OK;-13.094967;-95.18145;128.262268;-81.71196;103.574577;-112.870155;0.102995;2.353665;-4.325593;4.260538;3.5262;-1.0585753505;OK
1853752;OK;-13.092835;-95.180428;128.258194;-81.710983;103.574539;-112.875992;-0.18692;1.79386;-4.5027;2.293575;3.311625;-0.383850505;OK
1853776;OK;-13.092682;-95.152458;128.26329;-81.709404;103.574493;-112.883789;-1.340865;-10.60104;-1.197536;0.57935;3.008837;-0.0119125;OK
1853800;OK;-13.091187;-94.994057;128.277954;-81.707039;103.574455;-112.891953;-1.078605;-24.830814;-1.444129;-0.278937;2.784725;0.3147125;OK
1853824;OK;-13.088881;-94.564888;128.287338;-81.704437;103.574417;-112.901489;-0.834465;-44.507023;0.329693;-1.232612;2.3651;0.50306225;OK
1853848;OK;-13.088683;-93.678474;128.295212;-81.701599;103.574883;-112.909622;-1.49345;-64.059258;1.464564;-1.7333;1.888275;0.59127525;OK
