Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6
749860;0;0.625979;-89.518555;90.282478;4.940074;90.483261;-143.840973;-2.031325;6.682395;-2.869193;-1.344675;1.595012;-1.554487
749884;0;0.610170;-89.519318;90.325562;4.922997;90.484734;-143.840622;8.086200;9.479520;7.107593;12.280937;3.700250;-2.35080087
749908;0;0.509392;-89.552650;90.586777;4.467041;90.549690;-143.766296;21.358486;12.653349;19.649771;35.052288;7.975100;-10.285376
749932;0;0.236766;-89.663147;91.341133;2.807174;90.798721;-143.157257;34.795761;16.094204;33.866337;58.965675;11.990062;-9.422300
749956;0;-0.285183;-89.881004;92.783020;-0.502195;91.291367;-141.958267;39.782520;17.992016;46.155106;83.320137;21.259775;-10.738362
749980;0;-1.077978;-90.214088;94.984848;-5.573651;92.066666;-140.178726;45.502659;22.713659;49.020222;83.694450;14.312263;-14.421937
750004;0;-2.109034;-90.652580;97.868385;-12.251739;93.076622;-137.787369;41.495319;21.821976;44.784542;78.625671;14.867775;-14.672275
750028;0;-3.292218;-91.151299;101.153763;-19.857836;94.225929;-135.061783;29.419895;20.376205;35.473957;66.716667;13.456337;-13.868800
750052;0;-4.533410;-91.665581;104.582886;-27.718744;95.414421;-132.234772;28.886795;19.380566;31.183784;66.952698;13.031951;-13.141624
750076;0;-5.782577;-92.181313;108.042778;-35.612206;96.605270;-129.405441;27.647968;19.331930;30.261442;62.441826;13.921250;-13.239375
750100;0;-7.030316;-92.697243;111.502319;-43.504066;97.797874;-126.584961;28.901100;19.327160;33.213749;63.183300;11.863700;-13.563625
750124;0;-8.286076;-93.211372;114.966850;-51.395428;98.992790;-123.770996;24.840351;19.593235;32.058441;61.001778;11.761188;-13.318050
750148;0;-9.522181;-93.724968;118.402573;-59.254452;100.180771;-120.962021;22.903439;17.216679;26.053015;57.165611;12.152187;-12.722013
750172;0;-10.681073;-94.209930;121.634109;-66.718033;101.309624;-118.273972;17.416000;13.154981;11.596679;43.048851;8.790488;-10.433187
750196;0;-11.668052;-94.615623;124.335564;-72.967346;102.255844;-116.011330;4.257200;8.702275;1.038136;27.112949;6.949900;-7.4386503187
750220;0;-12.395687;-94.913765;126.322342;-77.510406;102.945396;-114.365067;0.242230;5.310055;-5.371907;17.480850;3.619187;-5.466938187
750244;0;-12.842765;-95.097061;127.559013;-80.308174;103.368538;-113.359619;-1.923560;2.942085;-12.002671;3.764625;1.947875;-2.92300087
750268;0;-13.047550;-95.177177;128.118454;-81.499306;103.545364;-112.925117;-4.306790;1.235005;-9.050364;-2.241125;2.660750;-1.20162587
750292;0;-13.101460;-95.192986;128.269882;-81.713730;103.577957;-112.863708;-2.521510;0.769615;-5.803786;2.973075;2.629750;-1.242150587
750316;0;-13.098922;-95.189362;128.279648;-81.720848;103.578857;-112.867500;-0.191685;1.869200;-4.362379;3.404613;2.591600;-0.574588587
750340;0;-13.093231;-95.186279;128.274826;-81.718910;103.578514;-112.873375;0.806805;1.723285;-4.625314;0.808237;2.169600;-0.0095258587
750364;0;-13.093385;-95.155235;128.279541;-81.714783;103.578140;-112.882874;-0.684735;-9.594915;-1.991814;-0.271787;1.666538;0.34331387
750388;0;-13.092528;-94.998062;128.293350;-81.709480;103.577408;-112.896233;-1.127240;-25.399204;-2.247943;-0.209800;1.320837;0.3695387
750412;0;-13.088672;-94.573990;128.301102;-81.705872;103.576851;-112.903183;0.535010;-47.279354;-0.399179;-0.913137;1.032350;0.70810087
750436;0;-13.087771;-93.696548;128.306793;-81.702835;103.576378;-112.911598;-0.114440;-70.884697;0.683914;-1.454350;0.762937;0.84161287
750460;0;-13.087475;-92.188606;128.310837;-81.700233;103.575905;-112.917595;-0.482555;-88.401787;0.771107;-2.148150;0.422000;0.99181387
