Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6
5752777;0;0.625829;-89.518608;90.282906;4.939102;90.483406;-143.840668;2.552030;5.637165;-2.435950;3.700250;0.467300;-1.220700
5752801;0;0.603153;-89.527969;90.345665;4.795821;90.505051;-143.789566;11.300085;7.862090;6.534029;12.705324;2.291200;-1.978863
5752825;0;0.452082;-89.590355;90.763786;3.841241;90.649261;-143.449142;19.965170;10.706900;18.166130;33.617012;6.959437;-7.297987
5752849;0;0.065521;-89.749977;91.833656;1.398671;91.018272;-142.578079;32.514568;14.295575;31.800949;55.389397;11.601438;-10.228150
5752873;0;-0.594366;-90.022469;93.660004;-2.770970;91.648193;-141.091095;36.958691;15.942571;40.521622;71.337212;12.037750;-11.799325
5752897;0;-1.527618;-90.407845;96.242935;-8.667932;92.539070;-138.988113;38.551331;19.351955;43.826778;78.125000;14.514913;-13.561237
5752921;0;-2.672312;-90.880531;99.411072;-15.900933;93.631790;-136.408676;35.137173;19.570351;39.260040;73.847763;14.152525;-14.441011
5752945;0;-3.904824;-91.389481;102.822250;-23.688831;94.808342;-133.631348;26.834484;18.261906;30.569342;60.834873;12.323850;-13.694763
5752969;0;-5.152714;-91.904785;106.276001;-31.573898;95.999573;-130.819382;24.243351;16.850470;26.085714;60.029022;11.091225;-12.886513
5752993;0;-6.401200;-92.420326;109.731392;-39.462734;97.191368;-128.006058;23.193356;16.506195;25.754652;55.792324;11.579988;-13.012876
5753017;0;-7.649664;-92.935867;113.186729;-47.351429;98.383148;-125.192780;24.154659;16.523359;26.959007;57.523251;12.190337;-13.172625
5753041;0;-8.897861;-93.451294;116.641327;-55.238441;99.574669;-122.380112;23.336411;16.934391;27.538023;55.952061;11.060237;-12.950887
5753065;0;-10.125373;-93.958176;120.038666;-62.994743;100.746445;-119.614052;19.819256;15.080450;21.117071;52.368633;10.731213;-12.688625
5753089;0;-11.232086;-94.415176;123.101685;-69.987755;101.802910;-117.120201;12.099265;11.054990;7.130757;37.152760;6.954662;-10.342587
5753113;0;-12.093260;-94.770790;125.485123;-75.429268;102.624977;-115.179642;0.320430;6.768225;-3.088536;22.759438;5.621900;-7.348050
5753137;0;-12.676609;-95.011673;127.099640;-79.115295;103.181839;-113.865128;-1.828190;3.969190;-8.337836;13.489713;2.574913;-5.366800
5753161;0;-12.986551;-95.139664;127.957458;-81.073730;103.477715;-113.166710;-3.063200;1.940725;-12.352807;0.889300;1.738063;-3.283013
5753185;0;-13.078214;-95.177513;128.211151;-81.652924;103.565208;-112.960159;-5.470275;1.247405;-11.303764;-3.223413;2.312650;-1.840587
5753209;0;-13.083869;-95.179848;128.226807;-81.688660;103.570610;-112.947418;-1.938815;1.407620;-5.411415;3.163813;3.359313;-1.888275
5753233;0;-13.083853;-95.179840;128.226761;-81.688553;103.570595;-112.947456;0.086780;2.580640;-4.475457;4.169938;3.447525;-1.294613
5753257;0;-13.083850;-95.179642;128.226746;-81.688538;103.570595;-112.947456;-0.048635;1.913070;-4.536764;2.133837;3.228188;-0.762937
5753281;0;-13.083852;-95.149750;128.226761;-81.688545;103.570595;-112.947456;-1.306530;-9.586329;-1.396450;0.505437;2.963537;-0.166887
5753305;0;-13.083852;-94.943985;128.226761;-81.688545;103.570595;-112.947456;-1.045225;-24.085995;-1.792907;-0.126350;2.689350;0.045288
5753329;0;-13.083852;-94.371696;128.226746;-81.688545;103.570595;-112.947456;-0.372885;-44.471741;-0.017707;-0.960825;2.341262;0.424375
5753353;0;-13.083852;-93.250359;128.226746;-81.688538;103.570595;-112.947464;-1.117705;-64.907066;1.100807;-1.459113;1.919263;0.531662
5753377;0;-13.083853;-91.416626;128.226746;-81.688538;103.570587;-112.947472;-0.952720;-79.123497;1.359664;-2.079000;1.459113;0.641338
5753401;0;-13.083854;-88.852455;128.226746;-81.688538;103.570587;-112.947472;-0.605580;-80.368042;-1.524514;-2.079000;1.244538;0.746250
5753425;0;-13.083856;-85.728088;128.226746;-81.688538;103.570587;-112.947487;-0.758170;-69.539070;0.292907;-1.633162;1.122950;0.693788
5753449;0;-13.083858;-82.230759;128.226730;-81.688530;103.570587;-112.947495;-0.883100;-56.057922;-1.104893;-1.850125;1.184938;0.655650
5753473;0;-13.083859;-78.537964;128.226730;-81.688530;103.570587;-112.947502;-0.640865;-44.442173;-1.561300;-2.112387;1.065725;0.729550
5753497;0;-13.083861;-74.795258;128.226730;-81.688530;103.570580;-112.947517;-0.720975;-40.575024;-0.299721;-2.100462;1.294613;0.820150
5753521;0;-13.083863;-71.051262;128.226730;-81.688530;103.570580;-112.947525;-0.822065;-36.238670;0.512257;-1.952638;1.206388;0.929825
5753545;0;-13.083865;-67.307259;128.226715;-81.688530;103.570580;-112.947533;-0.864980;-33.601761;0.946857;-2.083775;1.156325;1.006125
5753569;0;-13.083867;-63.563259;128.226715;-81.688530;103.570580;-112.947548;-0.697135;-32.998085;1.152579;-2.272125;1.296988;1.060962
5753593;0;-13.083869;-59.819260;128.226715;-81.688530;103.570572;-112.947556;-0.880240;-32.816883;1.448221;-2.443788;1.215925;1.077650
5753617;0;-13.083871;-56.075260;128.226715;-81.688522;103.570572;-112.947563;-0.936505;-31.493183;1.761572;-2.605912;1.170625;1.127712
5753641;0;-13.083873;-52.331261;128.226715;-81.688522;103.570572;-112.947578;-0.766750;-29.838558;2.084457;-2.365100;1.380437;1.180162
5753665;0;-13.083875;-48.587261;128.226700;-81.688522;103.570572;-112.947586;-0.923155;-29.761311;2.306529;-2.455700;1.275537;1.206388
5753689;0;-13.083877;-44.843262;128.226700;-81.688522;103.570564;-112.947594;-0.920295;-29.518124;2.655300;-2.648825;1.304137;1.189700
5753713;0;-13.083879;-41.099262;128.226700;-81.688522;103.570564;-112.947609;-0.855445;-26.563641;2.910064;-2.789488;1.356600;1.175400
5753737;0;-13.083881;-37.355259;128.226700;-81.688522;103.570564;-112.947617;-0.982280;-27.824398;3.164836;-2.877700;1.313675;1.213550
5753761;0;-13.083883;-33.611259;128.226685;-81.688522;103.570564;-112.947624;-0.964160;-27.464863;3.448207;-2.787112;1.356600;1.184938
5753785;0;-13.083885;-29.867432;128.226685;-81.688515;103.570557;-112.947639;-0.960350;-25.259968;3.634857;-2.765650;1.394737;1.208775
5753809;0;-13.083887;-26.131445;128.226685;-81.688515;103.570557;-112.947647;-0.993725;-23.928638;2.400529;-2.932538;1.308913;1.220700
5753833;0;-13.083889;-22.456087;128.226685;-81.688515;103.570557;-112.947655;-0.953670;-16.592976;0.305171;-3.094662;1.370900;1.218313
5753857;0;-13.083891;-18.955854;128.226669;-81.688515;103.570557;-112.947670;-0.973700;-6.993290;0.596721;-3.149500;1.435275;1.235000
5753881;0;-13.083893;-15.755769;128.226669;-81.688515;103.570549;-112.947678;-0.919340;5.964275;-0.182557;-2.713200;1.628388;1.220700
5753905;0;-13.083894;-12.978704;128.226669;-81.688515;103.570549;-112.947685;-0.940320;16.064640;-0.643043;-2.968300;1.657000;1.220700
5753929;0;-13.083895;-10.725513;128.226669;-81.688515;103.570549;-112.947693;-0.899310;23.538586;-0.024521;-2.560613;1.823900;1.239775
5753953;0;-13.083896;-9.032210;128.226669;-81.688515;103.570549;-112.947693;-1.109120;28.842926;0.681193;-2.944463;1.883500;1.220700
5753977;0;-13.083897;-7.887404;128.226669;-81.688515;103.570549;-112.947701;-1.056670;29.690739;2.305164;-2.918237;1.955025;1.220700
