Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6;Auto_Label
1779892;OK;0.625935;-89.517967;90.282196;4.939835;90.48333;-143.840652;3.28922;7.08866;-1.291543;4.584787;0.441063;-1.523487;OK
1779916;OK;0.608126;-89.519348;90.328293;4.917982;90.485367;-143.839188;12.237545;9.34982;7.840564;14.1406;2.22205;-2.262588;OK
1779940;OK;0.500911;-89.553711;90.595055;4.454001;90.549904;-143.73172;20.727154;12.441635;19.0149;33.555023;7.021425;-7.524487;OK
1779964;OK;0.226154;-89.664864;91.354095;2.791793;90.798027;-143.163513;32.683369;15.769956;32.264164;54.645538;11.458387;-10.013576;OK
1779988;OK;-0.296356;-89.885323;92.806976;-0.524191;91.299835;-141.977539;36.886215;16.538616;40.878563;70.714951;12.032975;-11.837475;OK
1780012;OK;-1.091975;-90.221352;95.014778;-5.590919;92.065979;-140.178574;38.48457;19.579884;44.085636;77.86274;14.472;-13.825888;OK
1780036;OK;-2.119625;-90.66172;97.895592;-12.264062;93.074608;-137.793625;35.997391;19.52457;39.190563;72.655678;14.14775;-14.638899;OK
1780060;OK;-3.2967;-91.159081;101.178284;-19.865002;94.225189;-135.068329;28.51009;18.11504;30.988964;60.939789;12.342925;-14.278887;OK
1780084;OK;-4.535332;-91.672913;104.602921;-27.724501;95.414673;-132.241776;25.648113;16.878124;26.993063;58.748711;11.0793;-13.580312;OK
1780108;OK;-5.784148;-92.187927;108.056778;-35.61586;96.606842;-129.409607;25.333399;16.700741;26.700151;55.713646;11.537075;-13.332362;OK
1780132;OK;-7.033502;-92.703117;111.514969;-43.50581;97.798866;-126.590401;25.37727;16.468044;28.317314;57.258598;12.211788;-13.637537;OK
1780156;OK;-8.284065;-93.21682;114.976326;-51.396336;98.992325;-123.772232;24.43981;16.86096;28.14838;55.754173;11.014937;-13.36335;OK
1780180;OK;-9.522653;-93.728134;118.411369;-59.25383;100.180305;-120.961815;20.395275;15.15007;21.344593;52.595139;10.945787;-13.141624;OK
1780204;OK;-10.684402;-94.211708;121.639771;-66.718536;101.309921;-118.272461;12.81261;11.235235;7.672986;36.861889;6.902213;-10.7550514;OK
1780228;OK;-11.668931;-94.616501;124.339211;-72.965988;102.255684;-116.013664;2.15721;6.98471;-2.613064;22.535313;5.760188;-7.688987514;OK
1780252;OK;-12.395149;-94.912537;126.319756;-77.507568;102.943886;-114.368309;-1.255035;4.09889;-8.092607;13.782975;2.739425;-5.51938814;OK
1780276;OK;-12.839403;-95.093605;127.548203;-80.304825;103.36586;-113.358467;-2.789495;2.673145;-11.850079;0.863075;1.814363;-3.31640014;OK
1780300;OK;-13.044188;-95.17202;128.106613;-81.492355;103.54319;-112.930809;-4.313465;1.61457;-10.8242;-3.402225;2.379413;-1.7619134;OK
1780324;OK;-13.098208;-95.185944;128.25383;-81.705658;103.574104;-112.865982;-2.442355;1.645085;-5.181171;3.283013;3.242487;-1.690387134;OK
1780348;OK;-13.095319;-95.181976;128.264191;-81.713058;103.575005;-112.869385;0.13828;2.392765;-4.314692;4.239075;3.445138;-1.0991007134;OK
1780372;OK;-13.092825;-95.180923;128.260101;-81.711914;103.574989;-112.875679;-0.03433;1.774785;-4.452293;2.143375;3.166188;-0.412463134;OK
1780396;OK;-13.092803;-95.152542;128.26503;-81.710197;103.574913;-112.883339;-1.263615;-10.44273;-1.159393;0.44345;2.937312;-0.0166884;OK
1780420;OK;-13.091287;-94.994278;128.279572;-81.70752;103.574806;-112.891624;-0.965115;-24.86515;-1.468657;-0.3314;2.57015;0.2956374;OK
1780444;OK;-13.088815;-94.565338;128.288788;-81.704819;103.574715;-112.901428;-0.635145;-44.59095;0.2425;-1.289837;2.195825;0.48160074;OK
