Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6;Trq1;Trq2;Trq3;Trq4;Trq5;Trq6
757741;0;0.626070;-89.518723;90.282654;4.940217;90.483261;-143.841003;3.458975;2.217290;-8.061271;-0.684250;-0.967975;1.473425;-108.750000;-69.750000;-179.000000;3.603333;-5.089569;-2.858250
757765;0;0.640060;-89.546066;90.306870;4.965672;90.483261;-143.841003;-6.201740;15.338895;-0.791543;-4.136550;-0.903600;1.482962;195.125000;-482.750000;-17.500000;22.156666;-4.785714;-2.858250
757789;0;0.736385;-89.734337;90.473648;5.140945;90.483261;-143.841003;-14.886854;29.232975;4.807878;-12.016288;-0.355237;1.530638;468.500000;-920.000000;106.750000;64.553337;-1.823129;-2.969250
757813;0;1.004423;-90.258224;90.937714;5.628666;90.483261;-143.841003;-25.975224;48.489571;11.284686;-18.329613;0.584125;1.537788;817.500000;-1526.125000;250.625000;98.440002;3.038549;-2.969250
757837;0;1.530242;-91.285942;91.848091;6.585444;90.483261;-143.840988;-35.341259;68.235397;20.183828;-27.523037;1.649850;1.680850;1112.250000;-2147.625000;448.375000;147.813339;8.735827;-3.246750
757861;0;2.393062;-92.972336;93.341934;8.155429;90.483261;-143.840988;-43.205261;85.196495;29.460358;-34.413338;1.959800;1.709450;1359.875000;-2681.500000;654.500000;184.843338;10.407029;-3.302250
757885;0;3.616117;-95.362823;95.459473;10.380897;90.483261;-143.840973;-46.311375;87.982178;34.780499;-40.023323;4.162787;1.783363;1457.625000;-2769.125000;772.750000;214.973328;22.105442;-3.441000
757909;0;5.135916;-98.333290;98.090775;13.146317;90.483261;-143.840942;-45.172691;79.152107;36.735527;-43.094151;3.831375;1.814363;1421.750000;-2491.250000;816.250000;231.533340;20.358276;-3.524250
757933;0;6.866221;-101.715202;101.086548;16.294775;90.483253;-143.840927;-37.507053;67.255966;35.303658;-41.465752;4.570475;1.769063;1180.500000;-2116.875000;784.375000;222.716660;24.308390;-3.413250
757957;0;8.722710;-105.343735;104.300781;19.672836;90.483253;-143.840912;-34.852978;55.348396;33.760063;-40.931698;2.396100;1.394737;1096.875000;-1742.000000;750.125000;219.880005;12.685941;-2.691750
757981;0;10.629953;-109.071472;107.602882;23.143250;90.483253;-143.840881;-32.748219;48.207279;31.982141;-38.058750;4.141325;1.363750;1030.750000;-1517.250000;710.625000;204.470001;22.029478;-2.636250
758005;0;12.545548;-112.815536;110.919456;26.628860;90.483253;-143.840866;-30.088419;43.296810;30.770979;-37.314888;2.639287;1.363750;947.000000;-1362.750000;683.625000;200.483337;13.977324;-2.636250
758029;0;14.461110;-116.559532;114.235962;30.114410;90.483253;-143.840836;-30.838966;40.569305;30.013493;-38.881298;1.330375;1.296988;970.625000;-1276.875000;666.875000;208.839996;7.064626;-2.497500
758053;0;16.376593;-120.303375;117.552338;33.599815;90.483253;-143.840820;-30.602455;39.028164;28.877258;-40.256973;2.369875;1.170625;963.125000;-1228.375000;641.625000;216.276672;12.609978;-2.275500
758077;0;18.282467;-124.028435;120.852074;37.067741;90.483246;-143.840790;-29.456135;32.400131;26.792791;-36.988251;3.519050;1.013275;927.125000;-1019.750000;595.250000;198.720001;18.687075;-1.970250
758101;0;20.119337;-127.618622;124.032341;40.410099;90.483246;-143.840775;-24.609566;19.649506;21.930422;-33.233162;0.472062;1.130100;774.500000;-618.375000;487.250000;178.479996;2.506803;-2.192250
758125;0;21.792521;-130.888885;126.929207;43.454620;90.483246;-143.840744;-16.982075;4.063605;17.228807;-28.674599;2.732275;0.903600;534.500000;-127.875000;382.750000;154.023331;14.509070;-1.748250
758149;0;23.204777;-133.649170;129.374313;46.024357;90.483246;-143.840729;-9.545324;-12.773509;8.659357;-23.968212;-0.090587;0.808237;300.375000;402.000000;192.375000;128.723328;-0.455782;-1.554000
758173;0;24.262262;-135.716034;131.205200;47.948555;90.483246;-143.840729;-1.016615;-27.297014;-1.814700;-17.917150;-0.264638;0.798700;31.875000;859.125000;-40.250000;96.216667;-1.367347;-1.526250
