Time,Label,A1,A2,A3,A4,A5,A6,Cur1,Cur2,Cur3,Cur4,Cur5,Cur6
4315948,1,0.625891,-89.518929,90.282394,4.939883,90.483284,-143.840973,2.895355,3.17764,-1.935957,4.146088,0.054825,-1.165862
4315972,1,0.608115,-89.519753,90.328773,4.917767,90.485245,-143.839401,11.775015,5.66864,7.155278,13.411037,1.847737,-1.912112
4315996,1,0.50135,-89.549217,90.595215,4.455314,90.549042,-143.730713,20.647999,10.7069,18.301006,33.295147,6.999963,-7.066725
4316020,1,0.226077,-89.65757,91.355507,2.790814,90.796524,-143.163864,32.197948,14.48631,31.32275,53.784836,11.684888,-9.689325
4316044,1,-0.296389,-89.875557,92.811157,-0.526556,91.299004,-141.975067,36.52763,16.161915,39.163315,68.821899,11.99245,-11.272426
4316068,1,-1.092502,-90.212036,95.020309,-5.5956,92.0653,-140.175339,37.779804,18.767355,42.35812,74.002739,14.603138,-13.325212
4316092,1,-2.121174,-90.654411,97.902992,-12.268958,93.074318,-137.78952,34.234043,18.350599,36.990299,68.128098,14.054775,-13.918875
4316116,1,-3.299656,-91.152962,101.186234,-19.868177,94.224953,-135.063828,26.11446,17.166134,28.578892,57.725899,12.810225,-13.337125
4316140,1,-4.538167,-91.667267,104.610573,-27.72739,95.414597,-132.238251,23.169514,16.23535,24.3582,55.029385,11.35825,-12.6934
4316164,1,-5.785697,-92.18325,108.063004,-35.617199,96.606979,-129.40596,23.277279,15.772815,24.457657,52.995674,11.625288,-12.533663
4316188,1,-7.034623,-92.699738,111.519691,-43.507103,97.80043,-126.588753,23.212429,15.35511,26.069365,53.272236,10.812275,-13.110638
4316212,1,-8.285548,-93.214401,114.979385,-51.396935,98.993584,-123.768578,22.020336,15.556335,26.033943,52.523613,9.8586,-12.5646518
4316236,1,-9.523949,-93.726059,118.414246,-59.255501,100.180885,-120.962646,18.250465,13.973234,18.76967,47.826763,10.504712,-12.290475
4316260,1,-10.684666,-94.209854,121.642151,-66.718613,101.310165,-118.277405,11.131285,10.17761,5.314686,34.296513,6.76155,-10.0779505
4316284,1,-11.668887,-94.614952,124.339958,-72.965675,102.256256,-116.017593,0.14019,5.768775,-4.34875,19.645687,5.271425,-7.207388505
4316308,1,-12.395072,-94.911034,126.319206,-77.505699,102.943665,-114.370827,-3.077505,3.196715,-9.563986,11.963838,2.868175,-5.25712505
4316332,1,-12.838788,-95.091415,127.54467,-80.301796,103.365433,-113.366882,-4.076955,2.216335,-12.672964,-0.069137,1.699913,-2.9969125
4316356,1,-13.041969,-95.168739,128.100449,-81.487793,103.541794,-112.936096,-4.4651,1.476285,-11.408665,-3.411762,2.639287,-1.7046875
4316380,1,-13.096066,-95.181793,128.246445,-81.700996,103.572273,-112.875244,-2.822875,1.65176,-5.471364,3.449912,3.75985,-1.819125875
4316404,1,-13.093352,-95.177574,128.256058,-81.708473,103.573128,-112.877663,-0.006675,2.70271,-4.420957,4.7779,3.9482,-1.268375875
4316428,1,-13.09088,-95.1763,128.251999,-81.707756,103.573189,-112.882713,0.0,2.127645,-4.574907,3.175725,3.736012,-0.6175005875
4316452,1,-13.09099,-95.148193,128.257736,-81.70652,103.573318,-112.889069,-1.070975,-10.13374,-1.243857,1.602162,3.499975,-0.1716505
4316476,1,-13.090111,-94.990082,128.273285,-81.704773,103.573677,-112.894928,-1.12247,-24.212835,-1.55585,0.53405,3.099437,0.01906305
4316500,1,-13.087771,-94.559906,128.283646,-81.703224,103.574448,-112.903099,-0.49114,-43.158531,0.155307,-0.469675,2.57015,0.32423705
4316524,1,-13.087595,-93.671761,128.29213,-81.700974,103.575287,-112.910774,-1.149175,-62.140457,1.337864,-1.173012,1.938337,0.49113805
4316548,1,-13.087145,-92.150101,128.298004,-81.69902,103.575645,-112.917229,-1.268385,-74.947357,1.630779,-1.811975,1.432887,0.61035005
4316572,1,-13.086057,-89.949608,128.280243,-81.69706,103.575569,-112.922501,-0.92506,-75.432777,-1.641679,-2.079,1.1444,0.6437255
4316596,1,-13.085716,-87.129692,128.255569,-81.696053,103.574974,-112.927963,-1.060485,-65.097801,-0.074929,-1.59025,1.049037,0.6914135
4316620,1,-13.08565,-83.843933,128.244492,-81.693855,103.574196,-112.933052,-1.173015,-51.786423,-1.739771,-2.000325,0.94175,0.6651885
4316644,1,-13.08497,-80.283524,128.232452,-81.692879,103.573143,-112.935959,-0.96035,-40.22789,-1.826964,-2.19345,0.9799,0.6890255
4316668,1,-13.084794,-76.599319,128.229385,-81.692284,103.572556,-112.937271,-1.04141,-36.227226,-0.871929,-2.362725,1.065725,0.7987005
4316692,1,-13.084826,-72.862701,128.232834,-81.692039,103.571541,-112.938416,-1.12438,-31.610485,0.326971,-2.229213,1.375675,0.85830005
4316716,1,-13.08464,-69.11676,128.234039,-81.691521,103.571198,-112.939529,-1.154895,-29.626846,0.91825,-2.408025,1.268375,0.99420005
4316740,1,-13.084365,-65.372818,128.234894,-81.69075,103.570969,-112.940964,-1.00803,-29.155731,1.189364,-2.541538,1.490113,0.97990005
4316764,1,-13.084442,-61.629631,128.235535,-81.690178,103.570694,-112.942207,-1.18637,-28.564449,1.448221,-2.8038,1.389975,0.97273705
4316788,1,-13.084387,-57.883953,128.236069,-81.690254,103.570717,-112.942863,-1.15871,-27.860641,1.802443,-2.949237,1.36375,1.04665005
4316812,1,-13.084156,-54.13723,128.236496,-81.690445,103.57058,-112.943405,-1.04141,-25.717735,2.223421,-2.853863,1.5521,1.07048705
4316836,1,-13.084179,-50.393791,128.236908,-81.6903,103.570503,-112.943604,-1.188275,-26.260376,2.467286,-2.944463,1.46865,1.12056205
