Time,Label,A1,A2,A3,A4,A5,A6,Cur1,Cur2,Cur3,Cur4,Cur5,Cur6
6533821,1,0.625829,-89.518608,90.282906,4.939102,90.483406,-143.840668,2.63977,5.348205,-2.156664,3.890987,0.457763,-1.246925
6533845,1,0.603153,-89.527969,90.345665,4.795821,90.505051,-143.789566,11.35826,7.573125,6.908686,13.060562,2.224437,-1.969325
6533869,1,0.452082,-89.590355,90.763786,3.841241,90.649261,-143.449142,20.196911,10.532374,18.450871,33.218849,6.88075,-7.226463
6533893,1,0.065521,-89.749977,91.833656,1.398671,91.018272,-142.578079,32.30381,14.15634,31.837734,54.180611,11.4417,-10.094638
6533917,1,-0.594366,-90.022469,93.660004,-2.77097,91.648193,-141.091095,36.9482,15.803335,40.542057,70.011612,11.684888,-11.8041
6533941,1,-1.527618,-90.407845,96.242935,-8.667932,92.53907,-138.988113,38.368225,18.951414,43.452122,75.926773,14.250276,-13.513562
6533965,1,-2.672312,-90.880531,99.411072,-15.900933,93.63179,-136.408676,35.076141,19.025799,38.668762,71.060654,13.866413,-14.150138
6533989,1,-3.904824,-91.389481,102.82225,-23.688831,94.808342,-133.631348,27.018543,17.879484,30.375885,59.661865,11.951912,-13.518325
6534013,1,-5.152714,-91.904785,106.276001,-31.573898,95.999573,-130.819382,24.576185,16.536709,26.102062,58.460224,10.781287,-12.836451
6534037,1,-6.4012,-92.420326,109.731392,-39.462734,97.191368,-128.006058,24.008749,16.209599,25.667456,54.304588,11.107913,-12.855525
6534061,1,-7.649664,-92.935867,113.186729,-47.351429,98.383148,-125.19278,24.223324,15.976904,26.71105,56.23101,11.556137,-13.206
6534085,1,-8.897861,-93.451294,116.641327,-55.238441,99.574669,-122.380112,23.36311,16.454695,27.311865,54.481022,10.647762,-12.636174
6534109,1,-10.125373,-93.958176,120.038666,-62.994743,100.746445,-119.614052,20.191189,14.852519,20.822794,51.202763,10.368813,-12.531275
6534133,1,-11.232086,-94.415176,123.101685,-69.987755,101.80291,-117.120201,12.61997,10.93769,7.2234,35.531513,6.4659,-10.216225
6534157,1,-12.09326,-94.77079,125.485123,-75.429268,102.624977,-115.179642,0.57411,6.52599,-3.333772,21.359913,5.28335,-7.1597
6534181,1,-12.676609,-95.011673,127.09964,-79.115295,103.181839,-113.865128,-2.22301,4.069325,-8.810586,12.557501,2.25305,-5.31435
6534205,1,-12.986551,-95.139664,127.957458,-81.07373,103.477715,-113.16671,-3.26347,2.284045,-12.395036,0.457763,1.478187,-3.221025
6534229,1,-13.078214,-95.177513,128.211151,-81.652924,103.565208,-112.960159,-5.06687,1.255035,-11.31875,-3.604887,2.250662,-1.8382
6534253,1,-13.083869,-95.179848,128.226807,-81.68866,103.57061,-112.947418,-2.293585,1.35517,-5.429129,3.349775,3.371238,-1.9741
6534277,1,-13.083853,-95.17984,128.226761,-81.688553,103.570595,-112.947456,-0.02861,2.576825,-4.501336,4.39405,3.540513,-1.373287
6534301,1,-13.08385,-95.179642,128.226746,-81.688538,103.570595,-112.947456,-0.012395,1.9474,-4.55175,2.474775,3.302088,-0.846375
6534325,1,-13.083852,-95.14975,128.226761,-81.688545,103.570595,-112.947456,-1.20544,-9.83524,-1.382821,0.815388,3.056525,-0.329012
6534349,1,-13.083852,-94.943985,128.226761,-81.688545,103.570595,-112.947456,-1.10626,-24.318695,-1.580371,-0.069137,2.865788,-0.016688
